Nome,Categoria,Densità,Unità di riferimento,"Energia, kilojoules (kJ)","Energia, calorie (kcal)","Lipidi, totali (g)","Acidi grassi, saturi (g)","Acidi grassi, monoinsaturi (g)","Acidi grassi, polinsaturi (g)",Colesterolo (mg),"Glucidi, disponibili (g)",Zuccheri (g),Amido (g),Fibra alimentare (g),Proteine (g),Sale (NaCl) (g),Alcool (g),Acqua (g),"Attività di vitamina A, RE (µg-RE)","Attività di vitamina A, RAE (µg-RE)",Retinolo (µg),Attività di beta-carotene (µg-BCE),Beta-carotene (µg),Vitamina B1 (tiamina) (mg),Vitamina B2 (riboflavina) (mg),Vitamina B6 (piridossina) (mg),Vitamina B12 (cobalamina) (µg),Niacina (mg),Folati (µg),Acido pantotenico (mg),Vitamina C (acido ascorbico) (mg),Vitamina D (calciferolo) (µg),Attività di vitamina E (mg-ATE),Potassio (K) (mg),Sodio (Na) (mg),Cloro (Cl) (mg),Calcio (Ca) (mg),Magnesio (Mg) (mg),Fosforo (P) (mg),Ferro (Fe) (mg),Iodio (I) (µg),Zinco (Zn)  (mg),Selenio (Se) (µg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acciuga sott'olio, sgocciolata",Pesce/Pesci di mare,,per 100 g di parte edibile,765,182,8.5,2.9,3.4,1.3,76,0.2,0.1,tr.,0,26.4,12,0,55.1,12,12,12,0,0,0.04,0.25,0.37,20.9,3.9,16,0.63,0.5,1.7,1.16,250,4970,tr.,290,230,280,2.7,30,1.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceto,"Diversi/Sale, spezie e aromi",1.0056,per 100 ml,93,22,0,0,0,0,0,0.7,0.3,0,0,0.1,0,0.1,93.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7.7,0.1,7,7.7,12,0.2,<5,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceto balsamico,"Diversi/Sale, spezie e aromi",,per 100 g di parte edibile,544,128,0.6,0,0,0,0,25.8,19.1,0,0.5,0.7,0.1,0,70.3,1,0,0,5,5,0.02,0.01,1.71,0,0.1,5.5,0.07,0.5,0.3,0,160,27,20,18,12,24,1,20,0.1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acqua potabile (valori medi ),Bevande analcoliche/Acqua potabile,1,per 100 ml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,0,0,0,0,tr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acquavite 40 % vol (Vodka, Gin)",Bevande alcoliche/Spiritosi,0.95,per 100 ml,920,222,0,0,0,0,0,0,0,0,0,0,0,31.7,63.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,2.9,0,0,0,3.8,0,0,0,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquavite di canna da zucchero (p.es. Rum),Bevande alcoliche/Spiritosi,0.95,per 100 ml,920,222,0,0,0,0,0,0,0,0,0,0,0,31.7,63.2,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,1.9,1,0,0,0,4.8,0.1,0,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acquavite di cereali, 40% vol (p.es. Whisky)",Bevande alcoliche/Spiritosi,0.95,per 100 ml,972,234,0,0,0,0,0,0.1,0.1,0,0,0,0,33.4,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,1,0,1.9,1,4.8,0,tr.,0,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquavite di ciliegie (Kirsch),Bevande alcoliche/Spiritosi,0.95,per 100 ml,964,233,0,0,0,0,0,0,0,0,0,0,0,33.3,61.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,tr.,0,1.9,0,0,0,0,0,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acquavite di vino (p.es. Cognac, brandy)",Bevande alcoliche/Spiritosi,0.95,per 100 ml,944,228,0,0,0,0,0,1.9,1.9,0,0,0,0,31.4,61.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,1.9,2.9,0,1,0,0,0,0,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affettato (in media),Prodotti carnei e insaccati/Salsicce scottate,,per 100 g di parte edibile,1140,276,24.2,9.1,11.3,2.3,59,0.7,0.7,0,0,13.9,2,0,61.2,3,3,3,2,2,0.29,0.13,0.15,0.91,2.96,1.8,0.42,26.8,0.5,0.21,120,790,1110,8.1,12,160,0.8,0.9,1.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
