,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
Breakfast - 223,,,,,,,,,,,,,,,,,,,,,,
Eggs X-Large (700g/12 eggs),2,13.104,8.84,0.312,0,0,0.312,33.883199999999995,156,507.52,145.6,1.9759999999999998,48.879999999999995,Australian Government,133.224,413,,,,,,
Mountain Bread Natural Light Wraps (serving),1,2.8,0.3,14.4,0.7,0,0.6,0.1,112,0,0,0,0,Woolworths,71.5,1681,,,,,,
Butter plain no added salt,2.5,0.027500000000000004,2.0324999999999998,0,0,0,0,1.7395,0.25,4.175,0.5750000000000001,0.00025,0.42500000000000004,Australian Government,18.402499999999996,233,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 1 - 1104.92875,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
5 Stagioni Gold,328.75,46.025000000000006,2.95875,223.55,6.575,0,4.9312499999999995,0,16.4375,0,0,0,0,Packaging,1104.92875,1293,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Lunch - 623.152625925926,,,,,,,,,,,,,,,,,,,,,,
Capsicum red fresh raw,100,1.7000000000000002,0.2,4,1.8000000000000003,0,4,0,2,0,174,0.3,4,Australian Government,24.6,262,,,,,,
Barilla Pasta Caserecce,70,8.4,1.4000000000000001,50.190000000000005,2.1,0,2.45,0.35000000000000003,3.5,0,0,0,0,Producer Website,246.96000000000004,1391,,,,,,
Woolworths Light Sour Cream (100g),37.5,0.9750000000000001,6.75,1.1625,0,0,1.0875,4.387499999999999,12.375,0,0,0,0,Woolworths,69.30000000000001,1451,,,,,,
Onion mature brown skinned peeled raw,37.5,0.48750000000000004,0,2.175,1.0125000000000002,0,2.175,0,3,0,67.5,0.09,8.625,Australian Government,10.649999999999999,727,,,,,,
Oil olive,5,0,4.995000000000001,0,0,0,0,0.8130000000000002,0,0,0,0,0,Australian Government,44.95500000000001,717,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Woolworths Light Tasty Shredded Cheese (100g),15,4.455,3.63,0.075,0,0,0.075,2.4450000000000003,93.45,0,0,0,0,Woolworths,50.79,1651,,,,,,
Tomato cherry raw,50,0.25,0.05,1.1,0.8500000000000001,0,1.1,0,5,0,120,0.25,5.5,Australian Government,5.8500000000000005,1059,,,,,,
Sourdough Bread 70% 5 Stagioni,55,5.29874074074074,0.34063333333333334,25.736740740740743,0.7569629629629631,0,0.5677222222222221,0,298.21407407407406,0,0.1315925925925926,0,0.7936296296296297,Own Recipe,127.20762592592592,1275,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Prune dried plum,30,0.69,0.12,9.75,2.34,0,9.3,0,2.1,0,210,0.33,15.600000000000001,Australian Government,42.84,884,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 2 - 220.835,,,,,,,,,,,,,,,,,,,,,,
Banana cavendish peeled raw,115,1.6099999999999999,0.34500000000000003,22.54,2.5300000000000002,0,14.72,0,0,0,397.9,0.33349999999999996,5.75,Australian Government,99.705,35,,,,,,
Peanut butter smooth & crunchy no added sugar or salt,10,2.4299999999999997,5.43,0.94,0.65,0,0.52,1.819,1.2,0,63.2,0.172,5.4,Australian Government,62.349999999999994,772,,,,,,
Nut pistachio raw unsalted,5,0.9849999999999999,2.5300000000000002,0.79,0.44999999999999996,0,0.29500000000000004,0.6,0.35000000000000003,0,47.5,0.195,4.5,Australian Government,29.87,698,,,,,,
Beetroot canned in brine drained,70,0.84,0.07,6.23,2.66,0,6.23,0,194.6,0,81.19999999999999,0.48999999999999994,8.4,Australian Government,28.910000000000004,124,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Dinner - 755.078692307692,,,,,,,,,,,,,,,,,,,,,,
Pork forequarter shoulder roast lean raw,215,42.14,6.665,0,0,0,0,86.215,161.25,129,795.5,2.365,23.65,Australian Government,228.54500000000002,821,,,,,,
Rice white uncooked,61.53846153846153,4.4923076923076914,0.5538461538461539,45.53846153846153,0.4923076923076923,0,0,13.661538461538461,0.6153846153846153,0,35.692307692307686,0.12307692307692307,2.4615384615384612,Australian Government,205.10769230769228,916,,,,,,
Tomato cherry raw,100,0.5,0.1,2.2,1.7000000000000002,0,2.2,0,10,0,240,0.5,11,Australian Government,11.700000000000001,1059,,,,,,
Onion mature brown skinned peeled raw,40,0.52,0,2.32,1.08,0,2.32,0,3.2,0,72,0.09599999999999999,9.200000000000001,Australian Government,11.36,727,,,,,,
Lettuce cos raw,120,1.6799999999999997,0.36,2.16,2.16,0,2.16,0,21.599999999999998,0,252,0.8399999999999999,24,Australian Government,18.6,580,,,,,,
Oil olive,15,0,14.985000000000001,0,0,0,0,2.4390000000000005,0,0,0,0,0,Australian Government,134.865,717,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Magnum Mini Ice Cream Classic (serving),1,1.739,9.729,12.596,0,0,11.232999999999999,6.11,23.5,0,0,0,0,Woolworths,144.901,1655,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,Daily Totals:,Goals:,Actual:,,
,,,,,,,,,,,,,,,,#N/A,,Protein,150,141.14904843304845,,8.85095156695155
,,,,,,,,,,,,,,,,#N/A,,Fat,70,72.38472948717948,-94.72504161126945,-2.3847294871794844
,,,,,,,,,,,,,,,,#N/A,,Carb,220,427.7657022792024,-213.13134362535624,-207.7657022792024
,,,,,,,,,,,,,,,,,,Fibre,32.662000000000006,27.856770655270655,,4.8052293447293515
,,,,,,,,,,,,,,,,,,Alcohol,0,0,,
,,,,,,,,,,,,,,,,,,Calories,2110,2927.1215682336187,,
,,,,,,,,,,,,,,,,,,,,,,
Daily Totals,,141.14904843304845,72.38472948717948,427.7657022792024,27.856770655270655,0,66.27647222222224,154.5627384615385,1120.6419586894585,640.6949999999999,2702.7989002849004,8.060826923076922,178.1851680911681,,2927.121568233617,,,,,,,
Goals,,150,70,220,29.54,0,,,,,,,,,2110,,,,,,,
