Food Name,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Calcium,Source,Price,Package Size,Package Size Parsed
Abalone black lip aquacultured raw,100,16.2,0.8,1.6,0,0,0.4,35.54,390,136,250,2.33,29,Australian Government,,,
Abalone black lip wild raw,100,19.4,0.6,1.6,0,0,0.4,38.13,268,152,285,1.78,21,Australian Government,,,
Abalone brown lip wild raw,100,17.8,0.6,1.6,0,0,0.4,42.83,280,123,210,4.65,20,Australian Government,,,
Abalone green lip aquacultured raw,100,17.1,0.8,1.6,0,0,0.4,38.83,792,139,260,2.6,58,Australian Government,,,
Abalone green lip wild raw,100,18.7,0.5,1.6,0,0,0.4,42.75,255,174,252,2.15,19,Australian Government,,,
Alcoholic beverage spirit approximately 40% v/v all Brandy Gin Rum Vodka and Whisky,100,0,0,0.1,0,30.7,0.1,0,3,0,1,0.05,1,Australian Government,,,
Amaranth grain whole uncooked,100,15.2,6.4,55.6,11.1,0,3.8,28.1,2,0,508,7,147,Australian Government,,,
Anchovy canned in oil drained,100,25.4,8.9,0,0,0,0,23.3,5480,77,180,2.5,167,Australian Government,,,
Apple bonza unpeeled raw,100,0.3,0.3,11.5,3.2,0,11.5,0,0,0,88,0.22,6,Australian Government,,,
Apple dried,100,1.3,0.3,67.4,9.1,0,62.1,0,91,0,590,1.1,17,Australian Government,,,
Apple fuji unpeeled raw,100,0.3,0.3,12.1,2.4,0,12.1,0,2,0,91,0,6,Australian Government,,,
Apple golden delicious unpeeled raw,100,0.3,0,10.5,2.5,0,10.5,0,2,0,90,0.16,4,Australian Government,,,
Apple granny-smith unpeeled raw,100,0.3,0,10.5,2.3,0,10.3,0,1,0,108,0.16,5,Australian Government,,,
Apple jonathon unpeeled raw,100,0.3,0,11.9,2.3,0,11.8,0,1,0,110,0.2,4,Australian Government,,,
Apple pink lady unpeeled raw,100,0.2,0,12.3,3,0,12.2,0,1,0,120,0,4,Australian Government,,,
Apple red delicious unpeeled raw,100,0.3,0,13.5,2.3,0,13,0,1,0,102,0.16,5,Australian Government,,,
Apple red skin unpeeled raw,100,0.3,0,12.4,2.7,0,12,,1,0,113,0.03,5,Australian Government,,,
Apple royal gala unpeeled raw,100,0.4,0,12.1,2.1,0,11.1,0,1,0,110,0.05,5,Australian Government,,,
Apricot canned in pear juice,100,0.8,0,8.2,1.8,0,8.2,,4,0,189,0.46,12,Australian Government,,,
Apricot dried,100,4.3,0.2,41.5,8.4,0,40.5,0,37,0,1510,3.1,67,Australian Government,,,
Apricot raw,100,0.8,0.1,6.6,2.5,0,6.6,0,2,0,335,0.3,16,Australian Government,,,
Artichoke globe raw,100,2.8,0.2,1.3,8.1,0,0.9,0,6,0,360,0.5,30,Australian Government,,,
Artichoke heart canned in brine drained,100,1.9,0.3,1.2,4.7,0,1.1,0,280,0,180,0.4,33,Australian Government,,,
Artichoke jerusalem peeled raw,100,2.1,0.1,10.5,3,0,2.7,0,5,0,520,0.9,20,Australian Government,,,
Asparagus canned in brine drained,100,1.9,0.1,1.5,3.9,0,1.5,0,240,0,120,1.6,12,Australian Government,,,
