,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
Harissa Chicken & Chickpeas w Bulgur Wheat 817,1,46.97,6.184999999999998,41.27,16.505,0,5.44,55.272499999999994,93,73.75,1070.7,5.097999999999999,170.55,Own Recipe,408.625,,,,,,,
Chicken breast lean flesh raw,125,27.875,2,0,0,0,0,41.12499999999999,51.25,73.75,375,0.5,15,Australian Government,129.5,297,,20.833333333333332,,,,
Juice lemon,15,0.09,0.03,0.27,0.375,0,0.27,0,0.3,0,18,0.045,3,Australian Government,1.71,498,,2.5,,,,
Chickpea dried,50,9.85,2.75,19.25,10.4,0,1.1,6.35,5.5,0,198,2.3,79.5,Australian Government,141.15,312,,8.333333333333334,,,,
Paprika dry powder,5,0.705,0.645,0.9550000000000001,1.7449999999999999,0,0.515,0.9225,3.4000000000000004,0,114,1.057,11.45,Australian Government,12.445,742,,0.8333333333333334,,,,
Bulgur uncooked,25,2.575,0.5,16.525,1.95,0,0.25,5.075,0.75,0,80,0.625,7.5,Australian Government,80.89999999999999,230,,4.166666666666667,,,,
Cucumber Lebanese unpeeled raw,80,0.48,0,1.6,0.7200000000000001,0,1.52,0,9.6,0,107.2,0.21600000000000003,33.6,Australian Government,8.32,382,,13.333333333333334,,,,
Chobani No Fat Plain Yoghurt,50,4.85,0.1,2.1,0,0,1.6500000000000001,0.05,16,0,0,0,0,Woolworths,28.699999999999996,1430,,8.333333333333334,,,,
Garlic peeled fresh raw,5,0.305,0.13999999999999999,0.51,0.845,0,0.075,1.75,0.4,0,25.5,0.085,1.5,Australian Government,4.52,454,,0.8333333333333334,,,,
Parsley continental fresh raw,10,0.24,0.02,0.06,0.47,0,0.06,0,5.8,0,153,0.27,19,Australian Government,1.38,743,,1.6666666666666667,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
