,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
Full English Breakfast Wrap 4846,,,,,,,,,,,,,,,,,,,,,,
Bacon middle rasher untrimmed raw,300,46.2,84.6,0.9,0,0,0.9,122.22000000000001,3822,180,831,1.29,15,Australian Government,949.8000000000001,29,,Makes 10,,,,
Woolworths Chicken Mince (100g),500,96,30,5.500000000000001,0,0,0.5,9.05,260,0,0,0,0,Woolworths,676,1614,,,,,,
Old El Paso Mexican Burrito Tortillas (serving),10,31,24,214,9,0,6,5,1650,0,0,0,0,Woolworths,1196,1617,,,,,,
Woolworths Light Tasty Shredded Cheese (100g),300,89.1,72.6,1.5,0,0,1.5,48.9,1869.0000000000002,0,0,0,0,Woolworths,1015.8,1616,,,,,,
,10,262.29999999999995,211.2,221.9,9,0,8.9,185.17000000000002,7601,180,831,1.29,15,#N/A,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,#N/A,,Cheese scones are a true traditional classic and these light and fluffy ones are perfect spread with low-fat margarine for a tasty breakfast.,,,,
Woolworths Essentials Plain Flour (100g),200,21.8,2.6,140.8,7.000000000000001,0,4.6,0,0,0,0,0,0,Woolworths,673.8000000000001,1612,,"1 Preheat the oven to 200°C. Mix the self-raising flour, salt and mustard powder together in a bowl. Then add the low-fat margarine, rubbing it into the flour to form a light breadcrumb texture. Stir in 55g of the low-fat Cheddar cheese.",,,,
Salt table non-iodised,8,0,0,0,0,0,0,0,3054.24,0,1.36,0,2.72,Australian Government,0,934,,"2 In a separate bowl, whisk the egg and milk together. Slowly pour this into the dry ingredients and mix until you have a fairly firm dough.",,,,
Baking powder dry powder,16,0.128,0.048,3.168,0.064,0,0.016,0,1098.88,0,1322.72,0.3232,0.96,Australian Government,13.616,32,,3 Roll the dough out on a lightly floured surface to a thickness of approximately 2cm. Cut out the scones using an 8cm cutter (or an upturned glass if you don't have a cutter).,,,,
Woolworths Light Tasty Shredded Cheese (100g),75,22.275,18.15,0.375,0,0,0.375,12.225,467.25000000000006,0,0,0,0,Woolworths,253.95,1616,,4 Line a baking tray with baking paper and spray with low-cal oil. Place the scones on it and brush them with a little milk.,,,,
Eggs X-Large (700g/12 eggs),1,6.552,4.42,0.156,0,0,0.156,16.941599999999998,78,253.76,72.8,0.9879999999999999,24.439999999999998,Australian Government,66.612,413,,Top them with the remaining 20g of cheese.,,,,
Woolworths Soy Milk (100g),60,2.04,1.7399999999999998,3,0.36,0,1.02,0.12,40.800000000000004,0,0,0,0,Woolworths,35.82,1520,,5 Bake in the oven for 15-20 minutes until golden brown.,,,,
Butter plain no added salt,30,0.33,24.389999999999997,0,0,0,0,20.874,3,50.099999999999994,6.9,0.003,5.1000000000000005,Australian Government,220.82999999999996,233,,The scones will keep in a sealed container for up to 3 days or in the freezer for up to 3 months.,,,,
,10,53.125,51.34799999999999,147.49900000000002,7.424000000000001,0,6.167,50.160599999999995,4742.17,303.86,1403.78,1.3141999999999998,#N/A,#N/A,,#N/A,,,,,,
,,5.3125,5.134799999999999,14.749900000000002,0.7424000000000002,0,0.6167,5.0160599999999995,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,126.46280000000002,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 1 - 1928.121,,,,,,,,,,,,,,,,,,,,,,
Flour wheat wholemeal plain,150,18.15,3.1500000000000004,87.89999999999999,16.799999999999997,0,1.35,29.400000000000002,7.5,0,472.5,4.5,45,Australian Government,452.54999999999995,445,,,,,,
