,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
Breakfast - 383,,,,,,,,,,,,,,,,,,,,,,
Sourdough Bread 100% Caputo 70% Hydration,70,6.42096,0.49392,35.315279999999994,1.48176,0,0.49392,0.148176,394.66224,0,0.98784,0,1.03488,Own Recipe,171.39023999999998,1261,,,19.8300283286119,,,
Aldi Cottage Cheese,80,9.520000000000001,1.6800000000000002,3.4399999999999995,0,0,3.2799999999999994,1.2,235.2,0,0,0,17.6,Packaging,66.96000000000001,1272,,,22.6628895184136,,,
Nut brazil raw or blanched unsalted,3,0.43200000000000005,2.055,0.07200000000000001,0.255,0,0.063,0.678,0.06,0,16.799999999999997,0.066,4.5,Australian Government,20.511000000000003,685,,,0.84985835694051,,,
Coles Soy Milk Oranic,200,6,6.6000000000000005,10.2,0,0,3.6000000000000005,0,78,0,0,0,240,Coles,124.2,1179,,,56.657223796033996,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 1 - 108.01728,,,,,,,,,,,,,,,,,,,,,,
Sourdough Bread 100% Caputo 70% Hydration,40,3.6691200000000004,0.28224000000000005,20.180159999999997,0.8467199999999999,0,0.28224000000000005,0.084672,225.52128,0,0.5644800000000001,0,0.59136,Own Recipe,97.93727999999999,1261,,,,,,
Tomato common raw,70,0.42,0,2.1,0.7700000000000001,0,1.75,0,2.8000000000000003,0,147,0.161,7.7,Australian Government,10.08,1060,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Lunch - 464.925,,,,,,,,,,,,,,,,,,,,,,
Chicken breast lean flesh raw,168.75,37.63125,2.7,0,0,0,0,55.51874999999999,69.1875,99.5625,506.25,0.675,20.25,Australian Government,174.82500000000002,297,,,,,,
Cream thickened regular fat approximately 35%,60,1.2,21.66,1.44,0,0,1.44,40.95,16.200000000000003,66,50.4,0,36,Australian Government,205.5,374,,,,,,
Potato red skin peeled raw,135,3.105,0,14.445,2.2950000000000004,0,2.2950000000000004,0,6.75,0,540,0.32399999999999995,8.1,Australian Government,70.2,870,,,,,,
Carrot mature peeled fresh raw,50,0.3,0,3.3000000000000003,1.7000000000000002,0,3.1,0,24.5,0,132,0.12,13,Australian Government,14.4,266,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 2 - 313.7216,,,,,,,,,,,,,,,,,,,,,,
Carrot mature peeled fresh raw,120,0.72,0,7.92,4.08,0,7.4399999999999995,0,58.8,0,316.8,0.288,31.200000000000003,Australian Government,34.56,266,,,,,,
Chickpea dried,50,9.85,2.75,19.25,10.4,0,1.1,6.35,5.5,0,198,2.3,79.5,Australian Government,141.15,312,,,,,,
Oil olive,6.6,0,6.593400000000001,0,0,0,0,1.0731600000000001,0,0,0,0,0,Australian Government,59.34060000000001,717,,,,,,
Tahini sesame seed pulp,10,1.7300000000000002,6.07,0.1,1.35,0,0.06999999999999999,1.3,7.9,0,19,0.51,33,Australian Government,61.95,1044,,,,,,
