3,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
Breakfast - 307,,,,,,,,,,,,,,,,,,,,,,
Eggs X-Large (700g/12 eggs),2,13.104,8.84,0.312,0,0,0.312,33.883199999999995,156,507.52,145.6,1.9759999999999998,48.879999999999995,Australian Government,133.224,413,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Sourdough Bread 70% Hydration + Linseed,80,6.493629629629629,1.6037925925925927,33.438340740740735,0.9706666666666668,0,0.8836740740740741,0.42974814814814805,409.17712592592585,0,29.088,0.20373333333333332,9.429333333333334,Own Recipe,174.1620148148148,1260,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 1 - 0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Lunch - 607.236811738649,,,,,,,,,,,,,,,,,,,,,,
Slow-Cooker BBQ Pulled Chicken,1,47.728833333333334,4.032333333333333,20.497666666666667,1.7136666666666667,0,20.14916666666667,93.6725,304.92333333333335,122.91666666666667,859.3833333333333,1.7035,52.4,Own Recipe,309.197,1267,,,,,,
Pure di patate 23/01,120,5.1594241417497235,6.484341085271318,12.588261351052045,1.7137541528239206,0,1.3907419712070874,9.318879291251383,63.19778516057586,13.634551495016611,17.69966777408638,0.01589811738648948,85.00642303433001,Own Recipe,129.34981173864892,1258,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Nut almond with skin raw unsalted,10,1.9699999999999998,5.05,0.54,1.09,0,0.52,0.79,0,0,79.6,0.375,26.5,Australian Government,55.489999999999995,683,,,,,,
Seed sunflower,10,2.2699999999999996,5.1,0.22000000000000003,1.08,0,0.2,0.8800000000000001,0,0,46,0.45999999999999996,10,Australian Government,55.86,975,,,,,,
Seed pumpkin hulled & dried,10,3.02,4.9,0.29,0.6,0,0.13999999999999999,1.887,2,0,82,1,4.6000000000000005,Australian Government,57.339999999999996,974,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 2 - 448.576385185185,,,,,,,,,,,,,,,,,,,,,,
Pineapple canned in pineapple juice drained,400,2,0.4,42,7.6,0,42,0,16,0,520,1.4,24,Australian Government,179.6,790,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Sourdough Bread 70% Hydration + Linseed,55,4.46437037037037,1.1026074074074075,22.988859259259257,0.6673333333333334,0,0.6075259259259259,0.2954518518518518,281.30927407407404,0,19.998,0.14006666666666667,6.482666666666667,Own Recipe,119.73638518518518,1260,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Blueberry purchased frozen,70,0.35000000000000003,0,6.930000000000001,2.5200000000000005,0,6.65,0,1.4000000000000001,0,53.9,0.252,7.7,Australian Government,29.12,150,,,,,,
Cherry raw,70,0.56,0.14,7.63,1.05,0,7.63,0,0,0,161,0.19600000000000004,15.4,Australian Government,34.02,296,,,,,,
Chobani No Fat Plain Yoghurt,150,14.549999999999999,0.3,6.300000000000001,0,0,4.95,0.15,48,0,0,0,0,Woolworths,86.1,1403,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Dinner - 1021.96539772727,,,,,,,,,,,,,,,,,,,,,,
Barramundi aquacultured fillet raw,100,19.2,5.3,0,0,0,0,32.21,56.00000000000001,86,345,0.32,19,Australian Government,124.5,47,,,,,,
Woolworths Basmati Rice (100g),90,5.67,0,70.91999999999999,1.8900000000000001,0,0.18,0,4.5,0,0,0,0,Woolworths,306.35999999999996,1580,,,,,,
Teriyaki Sauce Homemade,150,5.780113636363637,0.02130681818181818,47.117045454545455,0.04261363636363636,0,29.175,0,3810.1874999999995,0,0.20454545454545453,0,0.10227272727272727,Own Recipe,211.78039772727274,1262,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Poppy-Seed Pancakes  P64,1,22.985499999999995,9.115,20.162,4.2425,0,3.628,48.0107,88.94,131.88,291.635,2.1553999999999998,237.59,Own Recipe,254.62499999999997,1264,,,,,,
Peanut butter smooth & crunchy no added sugar or salt,20,4.859999999999999,10.86,1.88,1.3,0,1.04,3.638,2.4,0,126.4,0.344,10.8,Australian Government,124.69999999999999,772,,,,,,
,150,,,,,,,,,,,,,,,#N/A,,,,,,
,5,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,Daily Totals:,Goals:,Actual:,,
,,,,,,,,,,,,,,,,,,Protein,150,160.16587111144668,,-10.165871111446677
,,,,,,,,,,,,,,,,,,Fat,70,63.24938123678646,-26.055680557792748,6.750618763213538
,,,,,,,,,,,,,,,,,,Carb,220,293.81417347226414,-58.625281255033684,-73.81417347226414
,,,,,,,,,,,,,,,,,,Fibre,32.662000000000006,26.480534455854226,,6.18146554414578
,,,,,,,,,,,,,,,,,,Alcohol,0,0,,
,,,,,,,,,,,,,,,,,,Calories,2110,2385.164609465922,,
,,,,,,,,,,,,,,,,,,,,,,
Daily Totals,,160.16587111144668,63.24938123678646,293.81417347226414,26.480534455854226,0,119.45610863787377,225.1654792912514,5244.035018493908,861.9512181616832,2777.5085465619654,10.541598117386489,557.8906957616026,,2385.164609465921,,,,,,,
Goals,,150,70,220,29.54,0,,,,,,,,,2110,,,,,,,
