,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
Breakfast - 333,,,,,,,,,,,,,,,,,,,,,,
Centurion OO Flour,90,10.35,0.18,58.13999999999999,0,0,1.44,0.18,1.53,0,0,0,0,Packaging,275.58,1336,,767,,,,
Flour wheat wholemeal plain,10,1.21,0.21000000000000002,5.859999999999999,1.1199999999999999,0,0.09000000000000001,1.96,0.5,0,31.5,0.3,3,Australian Government,30.169999999999998,445,,76.7,,,,
Water tap,68,0,0,0,0,0,0,0,2.04,0,0,0,1.36,Australian Government,0,1103,,573.7160000000001,,,,
Salt table non-iodised,1.8,0,0,0,0,0,0,0,687.204,0,0.30600000000000005,0,0.6120000000000001,Australian Government,0,934,,15.186600000000002,,,,
Centurion OO Flour,9,1.0350000000000001,0.018000000000000002,5.813999999999999,0,0,0.14400000000000002,0.018000000000000002,0.15300000000000002,0,0,0,0,Packaging,27.557999999999996,1336,,75.933,,,,
Water tap,9,0,0,0,0,0,0,0,0.27,0,0,0,0.18,Australian Government,0,1103,,75.933,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,817.4686000000002,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 1 - 0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Lunch - 5840.144,,,,,,,,,,,,,,,,,,,,,,
Woolworths Washed Potatoes (100g),2000,46,2,252,36.00000000000001,0,13.999999999999998,0,80,0,0,0,0,Woolworths,1210,1581,,,,,,
Butter plain no added salt,100,1.1,81.3,0,0,0,0,69.58,10,167,23,0.01,17,Australian Government,736.0999999999999,233,,,,,,
Milk cow fluid regular fat 3.5% fat,163,5.542000000000001,5.542000000000001,9.78,0,0,9.78,110.49770000000001,57.05,16.3,226.57,0.0489,169.52,Australian Government,111.166,632,,,,,,
Parmigiano Reggiano,150,48.6,44.55,0,0,0,0,29.400000000000002,975,124.5,150,0.3,1732.5,Producer Website,595.35,1358,,,,,,
Woolworths Soy Milk (100g),448,15.232000000000001,12.991999999999999,22.400000000000002,2.688,0,7.6160000000000005,0.896,304.64000000000004,0,0,0,0,Woolworths,267.456,1493,,,,,,
Pure di patate 23/01,3290,116.474,146.384,284.17999999999995,38.68800000000001,0,31.395999999999997,210.37369999999999,1426.69,307.8,399.57,0.3589,1919.02,Own Recipe,2920.0719999999997,1258,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 2 - 0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Dinner - 3426.308,,,,,,,,,,,,,,,,,,,,,,
Seed linseed or flaxseed,40,6.2,16.880000000000003,0.64,10.920000000000002,0,0.64,3.6719999999999997,12,0,325.20000000000005,2.2920000000000003,102,Australian Government,179.28000000000003,972,,,,,,
Seeds Sesame Seeds hulled raw,40,8.88,22.240000000000002,0.36000000000000004,4.04,0,0.24,2.72,9.6,0,68,2.08,0,CalorieKing,237.12000000000003,1152,,,,,,
Fenugreek seed dried,13,2.99,0.8320000000000001,0.546,6.188000000000001,0,0.078,2.1892,8.71,0,100.10000000000001,4.3589,22.88,Australian Government,21.632,424,,,,,,
Water tap,133,0,0,0,0,0,0,0,3.9899999999999998,0,0,0,2.66,Australian Government,0,1103,,,,,,
Centurion OO Flour,636,73.14,1.272,410.85599999999994,0,0,10.176,1.272,10.812000000000001,0,0,0,0,Packaging,1947.4319999999998,1336,,,,,,
Semolina uncooked,133,14.231,1.596,81.928,4.256,0,0,28.595,3.9899999999999998,0,148.96,0.798,21.28,Australian Government,399,976,,,,,,
Gluten from wheat vital wheat gluten,30,22.56,0,3.96,0.18,0,0,6.590999999999999,8.7,0,30,1.56,42.599999999999994,Australian Government,106.08,463,,,,,,
Centurion OO Flour,30,3.45,0.06,19.379999999999995,0,0,0.48,0.06,0.51,0,0,0,0,Packaging,91.85999999999999,1336,,,,,,
Water tap,617,0,0,0,0,0,0,0,18.509999999999998,0,0,0,12.34,Australian Government,0,1103,,,,,,
Salt table non-iodised,16,0,0,0,0,0,0,0,6108.48,0,2.72,0,5.44,Australian Government,0,934,,,,,,
Centurion OO Flour,72,8.280000000000001,0.14400000000000002,46.51199999999999,0,0,1.1520000000000001,0.14400000000000002,1.2240000000000002,0,0,0,0,Packaging,220.46399999999997,1336,,,,,,
Seed sunflower,40,9.079999999999998,20.4,0.8800000000000001,4.32,0,0.8,3.5200000000000005,0,0,184,1.8399999999999999,40,Australian Government,223.44,975,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Seeded Sourdough Bread 1/02,1515,148.81099999999998,63.42400000000001,565.0619999999998,29.904000000000003,0,13.566000000000003,48.763200000000005,6186.526,0,858.9800000000001,12.9289,249.2,Own Recipe,,,,Daily Totals:,Goals:,Actual:,,
,,,,,,,,,,,,,,,,,,Protein,150,543.165,,-393.16499999999996
,,,,,,,,,,,,,,,,,,Fat,70,420.024,-1038.1564444444443,-350.024
,,,,,,,,,,,,,,,,,,Carb,220,1768.2979999999998,-2335.852,-1548.2979999999998
,,,,,,,,,,,,,,,,,,Fibre,32.662000000000006,138.30400000000003,,-105.64200000000002
,,,,,,,,,,,,,,,,,,Alcohol,0,0,,
,,,,,,,,,,,,,,,,,,Calories,2110,13026.068,,
,,,,,,,,,,,,,,,,,,,,,,
Daily Totals,,543.165,420.024,1768.2979999999998,138.30400000000003,0,91.598,520.4318000000001,15918.128999999999,615.6,2548.906,26.8756,4341.592000000001,,9599.759999999998,,,,,,,
Goals,,150,70,220,29.54,0,,,,,,,,,2110,,,,,,,
