,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
Breakfast - 304,,,,,,,,,,,,,,,,,,,,,,
Coles Wholemeal & Grain Soft Wraps 8 Pack | 360g,1,3.8,3.5,20.6,2,0,1.8,1.8,167,0,0,0,0,Coles,129.10000000000002,1189,,,,,,
Avocado raw,33,0.528,4.356,0.066,2.475,0,0,5.0489999999999995,2.31,0,148.5,0.16169999999999998,3.3000000000000003,Australian Government,41.580000000000005,28,,,,,,
Eggs X-Large (700g/12 eggs),2,13.104,8.84,0.312,0,0,0.312,33.883199999999995,156,507.52,145.6,1.9759999999999998,48.879999999999995,Australian Government,133.224,413,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 1 - 0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Lunch - 495.2,,,,,,,,,,,,,,,,,,,,,,
Fricasse De Frango,1,40.336666666666666,25.208333333333332,5.305833333333335,0.7075,0,3.233333333333334,64.84916666666666,520.9499999999999,78.66666666666667,433.05,0.8560833333333333,22.900000000000002,Own Recipe,409.44500000000005,1685,,,,,,
Bean green fresh raw,200,3.6000000000000005,0,6.6000000000000005,5.6,0,5.2,0,0,0,560,1.38,90,Australian Government,40.800000000000004,55,,,,,,
Oil olive,5,0,4.995000000000001,0,0,0,0,0.8130000000000002,0,0,0,0,0,Australian Government,44.95500000000001,717,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 2 - 218.999641509434,,,,,,,,,,,,,,,,,,,,,,
Melon watermelon peeled raw,100,0.6,0,7.3,0.4,0,7.000000000000001,0,3,0,122,0.1,5,Australian Government,31.599999999999998,623,,,,,,
Sourdough Bread 70% Caputo,50,4.038018867924528,0.07022641509433962,22.683132075471693,0,0,0.561811320754717,0.07022641509433962,275.0635283018868,0,0.1218867924528302,0,0.7354716981132077,Own Recipe,107.51664150943394,1269,,,,,,
Tomato common raw,160,0.96,0,4.8,1.7600000000000002,0,4,0,6.4,0,336,0.368,17.6,Australian Government,23.04,1060,,,,,,
