,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index
Minced Meat With Potatoes,8,385.99999999999994,133.50000000000003,287.5,27.500000000000004,0,25,57.45,1120,0,9500,11.250000000000002,75,Own Recipe,3895.5,
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,#N/A
Woolworths Lean Beef Mince (100g),1500,335.99999999999994,133.50000000000003,0,0,0,0,57.45,1020.0000000000001,0,0,0,0,Woolworths,2545.5,1642
Potato coliban peeled raw,2500,50,0,287.5,27.500000000000004,0,25,0,100,0,9500,11.250000000000002,75,Australian Government,1350,861
,,,,,,,,,,,,,,,,#N/A
Chess Chicken,8,307.85,51.21000000000001,100.44999999999999,48.14,0,87.27,399.67799999999994,9259.8,708,7495.200000000001,10.991999999999999,543,Own Recipe,2020.89,1684
Chicken breast lean flesh raw,1200,267.6,19.2,0,0,0,0,394.79999999999995,491.99999999999994,708,3600,4.8,144,Australian Government,1243.2,297
Capsicum red fresh raw,420,7.140000000000001,0.84,16.8,7.5600000000000005,0,16.8,0,8.4,0,730.8,1.26,16.8,Australian Government,103.32000000000001,262
Onion mature brown skinned peeled raw,520,6.760000000000001,0,30.159999999999997,14.040000000000001,0,30.159999999999997,0,41.6,0,936,1.248,119.60000000000001,Australian Government,147.67999999999998,727
Carrot mature peeled fresh raw,560,3.36,0,36.96,19.040000000000003,0,34.72,0,274.4,0,1478.4,1.3439999999999999,145.6,Australian Government,161.28,266
Kikkoman Soy Sauce,130,13.39,0,10.530000000000001,0,0,1.6900000000000002,0,8395.4,0,0,0,0,Woolworths,95.68,1500
Oil olive,30,0,29.970000000000002,0,0,0,0,4.878000000000001,0,0,0,0,0,Australian Government,269.73,717
Broccolini fresh raw,300,9.6,1.2,6,7.5,0,3.9000000000000004,0,48,0,750,2.3400000000000003,117,Australian Government,73.19999999999999,221
,,,,,,,,,,,,,,,,#N/A
Fricasse De Frango,6,484.04,302.5,63.670000000000016,8.49,0,38.800000000000004,778.1899999999999,6251.4,944,5196.6,10.273,274.8,Own Recipe,4913.34,1685
Corn kernels no added salt Coles,240,6.24,3.5999999999999996,22.320000000000004,5.04,0,8.4,69.84,362.4,0,297.6,1.008,4.8,Coles,146.64000000000001,1159
Woolworths Spreadable Light Cream Cheese (100g),250,23.5,50.25,9.250000000000002,0,0,5.500000000000001,33.75,625,0,0,0,0,Woolworths,583.25,1656
Chicken breast lean flesh raw,1600,356.8,25.6,0,0,0,0,526.4,656,944,4800,6.4,192,Australian Government,1657.6000000000001,297
Woolworths Shredded Mozzarella Cheddar & Pecorino Blend (100g),300,77.7,83.1,7.2,0,0,4.5,51.00000000000001,2241,0,0,0,0,Woolworths,1087.5,1529
Olive green or black drained,150,3,30.749999999999996,2.7,3.4499999999999997,0,0,19.8,2175,0,99,2.8649999999999998,78,Australian Government,299.54999999999995,726
Woolworths Light Thickened Cream,600,16.799999999999997,109.2,22.200000000000003,0,0,20.400000000000002,77.4,192,0,0,0,0,Woolworths,1138.8,1476
Escondidinho De Carne,8,408.682,198.716,724.0500000000001,84.53,0,110.71600000000001,398.0760000000001,19817.559999999998,1340.2,7252.8,12.345,1585.3999999999999,Own Recipe,6319.372,1686
Cassava peeled fresh raw,1000,11.000000000000002,2,304,46,0,12,0,20,0,2700,8,200,Australian Government,1278,267
Woolworths Corned Beef Silverside Portion (100g),742,134.30200000000002,20.775999999999996,25.970000000000002,0,0,13.356000000000002,11.129999999999999,7442.259999999999,0,0,0,0,Woolworths,828.072,1615
Woolworths Soy Milk (100g),160,5.44,4.64,8,0.96,0,2.72,0.32,108.80000000000001,0,0,0,0,Woolworths,95.52,1533
Oil olive,10,0,9.990000000000002,0,0,0,0,1.6260000000000003,0,0,0,0,0,Australian Government,89.91000000000003,717
