,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
Breakfast - 200,,,,,,,,,,,,,,,,,,,,,,
Mountain Bread Rye Wraps (serving),1,2.6,0.3,13.3,0.7,0,0.6,0.08,102,0,0,0,0,Woolworths,66.3,1697,,,,,,
Eggs X-Large (700g/12 eggs),2,13.104,8.84,0.312,0,0,0.312,33.883199999999995,156,507.52,145.6,1.9759999999999998,48.879999999999995,Australian Government,133.224,414,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 1 - 0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Lunch - 714.78975,,,,,,,,,,,,,,,,,,,,,,
Lentils with Pork,1,60.499750000000006,9.053749999999999,53.800999999999995,21.56,0,7.9275,22.4025,131.715,0,1243.6875,7.731375000000002,106.7125,Own Recipe,538.68675,1272,,,,,,
Parmigiano Reggiano,37,11.988,10.988999999999999,0,0,0,0,7.252000000000001,240.5,30.709999999999997,37,0.074,427.35,Producer Website,146.853,1412,,,,,,
Raisin,10,0.33,0.05,6.870000000000001,0.27999999999999997,0,6.69,5,1,0,68,0.12,5.300000000000001,Australian Government,29.250000000000004,905,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 2 - 0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Dinner - 1038.1545,,,,,,,,,,,,,,,,,,,,,,
Healthy Apricot Chicken,1,64.41075,21.157500000000002,59.89125,11.61375,0,18.83125,71.868,797.6487500000001,155.235,2970.275,8.93475,273.6125,Own Recipe,687.6255,1271,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Protein Breakfast Bar,1,9.907,13.198999999999998,12.8965,2.8129999999999997,0,2.0015,9.1592,8.65,0,137.95999999999998,1.3055999999999999,25.679999999999996,Own Recipe,210.005,1269,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Biscuit sweet plain,18,1.116,2.79,12.15,0.36,0,4.626,9.151200000000001,52.02,1.44,28.44,0.2466,6.4799999999999995,Australian Government,78.174,143,,,,,,
Peanut butter smooth & crunchy no added sugar or salt,10,2.4299999999999997,5.43,0.94,0.65,0,0.52,1.819,1.2,0,63.2,0.172,5.4,Australian Government,62.349999999999994,773,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,Daily Totals:,Goals:,Actual:,,
,,,,,,,,,,,,,,,,#N/A,,Protein,140,166.38550000000004,,-26.385500000000036
,,,,,,,,,,,,,,,,#N/A,,Fat,60,71.80924999999999,10.341527777777785,-11.809249999999992
,,,,,,,,,,,,,,,,#N/A,,Carb,210,160.16075,23.268437500000005,49.83924999999999
,,,,,,,,,,,,,,,,,,Fibre,32.662000000000006,37.97675,,-5.3147499999999965
,,,,,,,,,,,,,,,,,,Alcohol,0,0,,
,,,,,,,,,,,,,,,,,,Calories,1940,1952.4682500000001,,
,,,,,,,,,,,,,,,,,,,,,,
Daily Totals,,166.38550000000004,71.80924999999999,160.16075,37.97675,0,41.508250000000004,160.61509999999996,1490.73375,694.9050000000001,4694.162499999999,20.560325,899.415,,1952.46825,,,,,,,
Goals,,140,60,210,27.16,0,,,,,,,,,1940,,,,,,,
