,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,
Fruity beef casserole,4,229.692,75.02,173.71800000000002,25.082,0,149.746,92.004,12421.1,0,2598.1,3.331,282.92,Own Recipe,2288.8199999999997,,572.2049999999999
Oil olive,40,0,39.96000000000001,0,0,0,0,6.504000000000001,0,0,0,0,0,Australian Government,359.6400000000001,718,
Woolworths Corned Beef Silverside Portion (100g),1200,217.20000000000002,33.599999999999994,42.00000000000001,0,0,21.6,18,12036,0,0,0,0,Woolworths,1339.2,1651,
Onion mature brown skinned peeled raw,230,2.99,0,13.34,6.210000000000001,0,13.34,0,18.400000000000002,0,414,0.5519999999999999,52.900000000000006,Australian Government,65.32,728,
Carrot mature peeled fresh raw,290,1.74,0,19.14,9.860000000000001,0,17.98,0,142.1,0,765.6,0.696,75.4,Australian Government,83.52,267,
Woolworths Tomato Paste Sachets No Added Salt (serving),1,2.2,0.6,4.9,2.6,0,4.9,0.5,25,0,0,0,0,Woolworths,33.8,1682,
Celery fresh raw,190,1.1400000000000001,0.19,2.2800000000000002,2.6599999999999997,0,2.2800000000000002,0,186.2,0,507.3,0.47500000000000003,83.6,Australian Government,15.39,273,
Raisin,134,4.422000000000001,0.67,92.058,3.752,0,89.646,67,13.4,0,911.1999999999999,1.608,71.02000000000001,Australian Government,391.95000000000005,905,
,,,,,,,,,,,,,,,,#N/A,
,,,,,,,,,,,,,,,,#N/A,
,,,,,,,,,,,,,,,,#N/A,
Healthy Apricot Chicken,6,257.643,84.63000000000001,239.565,46.455,0,75.325,287.472,3190.5950000000003,620.94,11881.1,35.739,1094.45,Own Recipe,2750.502,1271,458.417
Oil olive,30,0,29.970000000000002,0,0,0,0,4.878000000000001,0,0,0,0,0,Australian Government,269.73,718,
Chicken thigh lean flesh raw,786,143.838,39.300000000000004,0,0,0,0,250.734,487.32,620.94,2200.7999999999997,5.502,78.60000000000001,Australian Government,929.052,308,
Onion mature brown skinned peeled raw,180,2.3400000000000003,0,10.44,4.86,0,10.44,0,14.4,0,324,0.43199999999999994,41.4,Australian Government,51.12,728,
Celery fresh raw,190,1.1400000000000001,0.19,2.2800000000000002,2.6599999999999997,0,2.2800000000000002,0,186.2,0,507.3,0.47500000000000003,83.6,Australian Government,15.39,273,
Carrot mature peeled fresh raw,187.5,1.125,0,12.375,6.375000000000001,0,11.625,0,91.875,0,495,0.44999999999999996,48.75,Australian Government,54,267,
Garlic peeled fresh raw,40,2.44,1.1199999999999999,4.08,6.76,0,0.6,14,3.2,0,204,0.68,12,Australian Government,36.16,455,
Mustard powder,20,5.88,7.9,3.4399999999999995,1,0,1,1.06,0.6,0,130,1.4000000000000001,32,Australian Government,108.38,666,
Stock dry powder or cube,10,1.1300000000000001,0.8900000000000001,2.25,0,0,0.42999999999999994,5.15,1840,0,25,0.25,7.1,Australian Government,21.53,1027,
Sauce Worcestershire commercial,50,0.65,0.1,8.8,0,0,8.45,11.65,530,0,445,1.8500000000000003,80,Australian Government,38.7,959,
Apricot dried,100,4.3,0.2,41.5,8.4,0,40.5,0,37,0,1510,3.1,67,Australian Government,185,21,
Beans Pinto Borlotti Dry ,400,94.8,4.96,154.4,16.4,0,0,0,0,0,6040,21.6,644,USDA,1041.44,1426,
,,,,,,,,,,,,,,,,#N/A,
Harissa Chicken & Chickpeas w Bulgur Wheat,4,300.1740000000001,57.11399999999999,241.85000000000002,75.12,0,130.31,788.37,704.4999999999999,596,5586.22,24.543,1388.5,Own Recipe,2682.1220000000003,#N/A,670.5305000000001
Chicken breast lean flesh raw,900,200.70000000000002,14.4,0,0,0,0,296.09999999999997,369,531,2700,3.6,108,Australian Government,932.4000000000001,298,
Juice lemon,90,0.54,0.18,1.62,2.25,0,1.62,0,1.8,0,108,0.27,18,Australian Government,10.260000000000002,499,
Chickpea dried,300,59.099999999999994,16.5,115.5,62.400000000000006,0,6.6000000000000005,38.1,33,0,1188,13.799999999999999,477,Australian Government,846.9,313,
Paprika dry powder,30,4.2299999999999995,3.87,5.73,10.469999999999999,0,3.0900000000000003,5.535,20.400000000000002,0,684,6.3420000000000005,68.7,Australian Government,74.67,743,
,,,,,,,,,,,,,,,,#N/A,
Pannacotta,5,17.802,11.082,59.5,0,0,59.5,224.31750000000002,140.14999999999998,32.5,453.10999999999996,0.2655,358.4,Own Recipe,408.946,1273,
Milk cow fluid regular fat 3.5% fat,325,11.05,11.05,19.5,0,0,19.5,220.31750000000002,113.74999999999999,32.5,451.74999999999994,0.09749999999999999,338,Australian Government,221.65,633,
Gelatine all types,8,6.752000000000001,0.032,0,0,0,0,4,26.4,0,0.56,0.168,20,Australian Government,27.296000000000003,456,
Sugar white granulated or lump,40,0,0,40,0,0,40,0,0,0,0.8,0,0.4,Australian Government,160,1035,
,,,,,,,,,,,,,,,,#N/A,
Slow-Cooker Beef Stew,4,324.65000000000003,43.18500000000001,47.055,21.275,0,44.25,153.924,1412.275,615.6,6580.8,25.902,377.35,Own Recipe,1875.4850000000004,1270,468.8712500000001
Beef boneless dice or strips lean raw,1140,314.64000000000004,27.36,0,0,0,0,0,433.2,615.6,3876,19.380000000000003,45.6,Australian Government,1504.8000000000002,64,
Onion mature brown skinned peeled raw,180,2.3400000000000003,0,10.44,4.86,0,10.44,0,14.4,0,324,0.43199999999999994,41.4,Australian Government,51.12,728,
Celery fresh raw,190,1.1400000000000001,0.19,2.2800000000000002,2.6599999999999997,0,2.2800000000000002,0,186.2,0,507.3,0.47500000000000003,83.6,Australian Government,15.39,273,
Carrot mature peeled fresh raw,187.5,1.125,0,12.375,6.375000000000001,0,11.625,0,91.875,0,495,0.44999999999999996,48.75,Australian Government,54,267,
