,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
Breakfast - 306,,,,,,,,,,,,,,,,,,,,,,
Eggs X-Large (700g/12 eggs),2,13.104,8.84,0.312,0,0,0.312,33.883199999999995,156,507.52,145.6,1.9759999999999998,48.879999999999995,Australian Government,133.224,413,,,,,,
Mountain Bread Natural Light Wraps (serving),1,2.8,0.3,14.4,0.7,0,0.6,0.1,112,0,0,0,0,Woolworths,71.5,1681,,,,,,
Woolworths Light Tasty Shredded Cheese (100g),30,8.91,7.26,0.15,0,0,0.15,4.890000000000001,186.9,0,0,0,0,Woolworths,101.58,1651,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 1 - 0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Lunch - 609.603,,,,,,,,,,,,,,,,,,,,,,
Moroccan Red Lentil and Lamb Stew,1,38.248375,11.016000000000002,47.703875,10.630749999999999,0,4.941375,57.30575,550.6875,73.125,910.4375,3.5974999999999997,35.65,Own Recipe,442.95300000000003,1266,,,,,,
Rice white uncooked,50,3.65,0.45000000000000007,37,0.4,0,0,11.1,0.5,0,28.999999999999996,0.1,2,Australian Government,166.65,916,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 2 - 0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Dinner - 906.363592592593,,,,,,,,,,,,,,,,,,,,,,
Chicken breast lean flesh raw,300,66.9,4.8,0,0,0,0,98.69999999999999,122.99999999999999,177,900,1.2,36,Australian Government,310.8,297,,,,,,
Brussels sprout fresh raw,250,9.5,0.75,5.25,11.25,0,5.25,0,75,0,950,2.2500000000000004,37.5,Australian Government,65.75,222,,,,,,
Oil olive,7,0,6.993,0,0,0,0,1.1382,0,0,0,0,0,Australian Government,62.937000000000005,717,,,,,,
Sourdough Bread 70% 5 Stagioni,100,9.634074074074075,0.6193333333333334,46.794074074074075,1.3762962962962966,0,1.0322222222222222,0,542.2074074074073,0,0.23925925925925928,0,1.442962962962963,Own Recipe,231.2865925925926,1275,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Nut pecan raw unsalted,10,0.98,7.190000000000001,0.49,0.8400000000000001,0,0.42999999999999994,0.66,0.3,0,50,0.24,5.1,Australian Government,70.59,696,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Tiramisu Toscano Cup (serving),1,2.5,8.2,20.3,0,0,11.4,7,48,0,0,0,0,Packaging,165,1372,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,Daily Totals:,Goals:,Actual:,,
,,,,,,,,,,,,,,,,#N/A,,Protein,150,156.22644907407408,,-6.2264490740740825
,,,,,,,,,,,,,,,,#N/A,,Fat,70,56.41833333333334,34.73724485596706,13.581666666666663
,,,,,,,,,,,,,,,,#N/A,,Carb,220,172.3999490740741,78.15880092592587,47.6000509259259
,,,,,,,,,,,,,,,,,,Fibre,32.662000000000006,25.197046296296296,,7.46495370370371
,,,,,,,,,,,,,,,,,,Alcohol,0,0,,
,,,,,,,,,,,,,,,,,,Calories,2110,1822.270592592593,,
,,,,,,,,,,,,,,,,,,,,,,
Daily Totals,,156.22644907407408,56.41833333333334,172.3999490740741,25.197046296296296,0,24.11559722222222,214.77715,1794.5949074074072,757.645,2985.276759259259,9.3635,166.57296296296295,,1822.2705925925925,,,,,,,
Goals,,150,70,220,29.54,0,,,,,,,,,2110,,,,,,,
