,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
Breakfast - 133,,,,,,,,,,,,,,,,,,,,,,
Eggs X-Large (700g/12 eggs),2,13.104,8.84,0.312,0,0,0.312,33.883199999999995,156,507.52,145.6,1.9759999999999998,48.879999999999995,Australian Government,133.224,413,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 1 - 0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Lunch - 687.12,,,,,,,,,,,,,,,,,,,,,,
Tofu Satay,1,33.98,46.28,33.67,5.0525,0,3.485,26.628,523.775,0,231.3,0.6575,15.925,Own Recipe,687.1199999999999,1262,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 2 - 282.96,,,,,,,,,,,,,,,,,,,,,,
Raisin,15,0.495,0.075,10.305000000000001,0.41999999999999993,0,10.035,7.5,1.5,0,102,0.18,7.95,Australian Government,43.87500000000001,904,,,,,,
Banana cavendish peeled raw,110,1.5399999999999998,0.33,21.560000000000002,2.4200000000000004,0,14.08,0,0,0,380.6,0.31899999999999995,5.5,Australian Government,95.37,35,,,,,,
Delta Bulgarian White Brined Sheep's Milk Cheese,25,4.25,6.125,0.25,0,0,0.25,3.75,75,0,0,0,0,Packaging,73.125,1355,,,,,,
Nut pecan raw unsalted,10,0.98,7.190000000000001,0.49,0.8400000000000001,0,0.42999999999999994,0.66,0.3,0,50,0.24,5.1,Australian Government,70.59,696,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Dinner - 1067.22141698113,,,,,,,,,,,,,,,,,,,,,,
Beef Tzimmes,1,53.486250000000005,13.137500000000001,47.77,4.24175,0,35.699999999999996,21.313,2778.7275,0,342.5,0.552,32.75,Own Recipe,523.2625,1261,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Sourdough Bread 70% Caputo,165,13.325462264150943,0.23174716981132074,74.85433584905658,0,0,1.8539773584905659,0.23174716981132074,907.7096433962264,0,0.40222641509433965,0,2.4270566037735852,Own Recipe,354.804916981132,1263,,,,,,
Tomato common raw,120,0.72,0,3.5999999999999996,1.32,0,3,0,4.8,0,252,0.276,13.2,Australian Government,17.279999999999998,1060,,,,,,
Oil olive,3,0,2.9970000000000003,0,0,0,0,0.48780000000000007,0,0,0,0,0,Australian Government,26.973000000000003,717,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Magnum Mini Ice Cream Classic (serving),1,1.739,9.729,12.596,0,0,11.232999999999999,6.11,23.5,0,0,0,0,Woolworths,144.901,1620,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
