,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
Rice And Beans,4,45.69,17.321,358.548,33.47,0,15.192,10.111,297.92,0,444,0.796,49.7,Own Recipe,1772.841,,,,,,,
Woolworths Basmati Rice (100g),400,25.2,0,315.2,8.4,0,0.8,0,20,0,0,0,0,Woolworths,1361.6,1607,,66.66666666666667,,,,
Garlic peeled fresh raw,20,1.22,0.5599999999999999,2.04,3.38,0,0.3,7,1.6,0,102,0.34,6,Australian Government,18.08,454,,3.3333333333333335,,,,
Onion mature brown skinned peeled raw,80,1.04,0,4.64,2.16,0,4.64,0,6.4,0,144,0.19199999999999998,18.400000000000002,Australian Government,22.72,727,,13.333333333333334,,,,
Oil olive,15,0,14.985000000000001,0,0,0,0,2.4390000000000005,0,0,0,0,0,Australian Government,134.865,717,,2.5,,,,
Onion mature brown skinned peeled raw,110,1.4300000000000002,0,6.38,2.97,0,6.38,0,8.8,0,198,0.26399999999999996,25.3,Australian Government,31.240000000000002,727,,18.333333333333332,,,,
Black Beans Canned (average),240,16.8,1.776,30.287999999999997,16.560000000000002,0,3.072,0.6720000000000002,261.12,0,0,0,0,"Woolworths, USDA",204.33599999999998,1448,,40,,,,
,,,,,,,,,,,,,,,,#N/A,,0,,,,
,,,,,,,,,,,,,,,,#N/A,,0,,,,
,,,,,,,,,,,,,,,,#N/A,,0,,,,
Beef Tzimmes,6,213.94500000000002,52.550000000000004,191.08,16.967,0,142.79999999999998,85.252,11114.91,0,1370,2.208,131,Own Recipe,2093.05,1261,,,,,,
Raisin,130,4.29,0.65,89.31,3.6399999999999997,0,86.97,65,13,0,884,1.56,68.9,Australian Government,380.25,904,,,,,,
Woolworths Corned Beef Silverside Portion (100g),1100,199.10000000000002,30.799999999999997,38.50000000000001,0,0,19.8,16.5,11033,0,0,0,0,Woolworths,1227.6000000000001,1602,,,,,,
Onion mature brown skinned peeled raw,270,3.5100000000000002,0,15.659999999999998,7.290000000000001,0,15.659999999999998,0,21.6,0,486,0.6479999999999999,62.1,Australian Government,76.67999999999999,727,,,,,,
Oil olive,20,0,19.980000000000004,0,0,0,0,3.2520000000000007,0,0,0,0,0,Australian Government,179.82000000000005,717,,,,,,
Moro Balsamic Vinegar Of Modena (100g),97,0.485,0,14.549999999999999,2.037,0,14.549999999999999,0,22.310000000000002,0,0,0,0,Woolworths,60.13999999999999,1632,,,,,,
Woolworths Tomato Paste Sachets No Added Salt (serving),1,2.2,0.6,4.9,2.6,0,4.9,0.5,25,0,0,0,0,Woolworths,33.8,1633,,,,,,
Woolworths Essentials Plain Flour (100g),40,4.36,0.52,28.160000000000004,1.4000000000000001,0,0.9199999999999999,0,0,0,0,0,0,Woolworths,134.76000000000002,1612,,,,,,
Red Curry With Lentils and Potatoes,4,281.64,358.61,449.45399999999995,57.03,0,33.36,185.03199999999998,2757.2,0,2850.2,3.104,114.2,Own Recipe,6151.866,,,,,,,
Woolworths Basmati Rice (100g),400,25.2,0,315.2,8.4,0,0.8,0,20,0,0,0,0,Woolworths,1361.6,1607,,,,,,
Potato red skin peeled raw,500,11.5,0,53.5,8.5,0,8.5,0,25,0,2000,1.2,30,Australian Government,260,870,,,,,,
Aldi Coconut Milk,400,6.4,68.4,8.4,0,0,4.4,57.99999999999999,92,0,0,0,0,Packaging,674.8000000000001,1354,,,,,,
Ginger peeled fresh raw,30,0.24,0.12,1.44,0.8399999999999999,0,0.51,0,3.3,0,72,0.18,5.1000000000000005,Australian Government,7.8,461,,,,,,
Onion mature brown skinned peeled raw,110,1.4300000000000002,0,6.38,2.97,0,6.38,0,8.8,0,198,0.26399999999999996,25.3,Australian Government,31.240000000000002,727,,,,,,
Oil olive,30,0,29.970000000000002,0,0,0,0,4.878000000000001,0,0,0,0,0,Australian Government,269.73,717,,,,,,
Aldi Canned Lentils,240,14.399999999999999,0.96,24,14.16,0,0.48,0.24,468,0,0,0,0,Packaging,162.24,1353,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Tofu Satay,4,124.07,180.23000000000002,31.282000000000004,14.959999999999999,0,12.29,97.16399999999999,2092.1,0,580.2,1.445,53.50000000000001,Own Recipe,2243.4780000000005,1262,560.8695000000001,,31.0175,45.057500000000005,7.820500000000001,
Rice brown uncooked,,,,,,,,,,,,,,,,913,,,,,,
Oil Coconut,30,0,29.73,0.252,0,0,0,24.75,0,0,0,0.015,0.3,USDA,268.578,1406,,,,,,
Coles Firm Tofu Nature's Kitchen,600,98.39999999999999,49.199999999999996,9,7.2,0,0,0,48,0,0,0,0,Coles,872.3999999999999,1186,,,,,,
Onion mature brown skinned peeled raw,70,0.91,0,4.06,1.8900000000000001,0,4.06,0,5.6000000000000005,0,126,0.16799999999999998,16.1,Australian Government,19.88,727,,,,,,
Garlic peeled fresh raw,10,0.61,0.27999999999999997,1.02,1.69,0,0.15,3.5,0.8,0,51,0.17,3,Australian Government,9.04,454,,,,,,
Ginger peeled fresh raw,10,0.08,0.04,0.48,0.27999999999999997,0,0.17,0,1.1,0,24,0.06,1.7000000000000002,Australian Government,2.5999999999999996,461,,,,,,
Kikkoman Soy Sauce,30,3.0900000000000003,0,2.43,0,0,0.39,0,1937.3999999999999,0,0,0,0,Woolworths,22.080000000000002,1487,,,,,,
Peanut butter smooth & crunchy no added sugar or salt,60,14.58,32.58,5.64,3.9000000000000004,0,3.12,10.914,7.199999999999999,0,379.20000000000005,1.032,32.400000000000006,Australian Government,374.09999999999997,772,,,,,,
Aldi Coconut Milk,400,6.4,68.4,8.4,0,0,4.4,57.99999999999999,92,0,0,0,0,Packaging,674.8000000000001,1354,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Lancashire Hot Pot & Pickled Cabbage 2407.815,2,29.755000000000003,20.545,34.885,9.285000000000002,0,16.725,8.509,1242.5,78,1722,4.147,122.35,Own Recipe,443.46500000000003,,,,Lancashire Hot Pot & Pickled Cabbage 2407.815,6,,
Lamb boneless dice or strips lean raw,200,43.2,9.4,0,0,0,0,0,106,156,680,4.4,10,Australian Government,257.40000000000003,514,,,Lamb boneless dice or strips lean raw,600,,
Woolworths Essentials Plain Flour (100g),10,1.09,0.13,7.040000000000001,0.35000000000000003,0,0.22999999999999998,0,0,0,0,0,0,Woolworths,33.690000000000005,1612,,,Woolworths Essentials Plain Flour (100g),30,,
Oil olive,30,0,29.970000000000002,0,0,0,0,4.878000000000001,0,0,0,0,0,Australian Government,269.73,717,,,Oil olive,90,,
Onion mature white skinned peeled fresh raw,140,2.3800000000000003,0.14,6.58,2.9400000000000004,0,6.58,0,18.2,0,235.2,0.40599999999999997,36.4,Australian Government,37.1,729,,,Onion mature white skinned peeled fresh raw,420,,
Sauce Worcestershire commercial,30,0.39,0.06,5.28,0,0,5.069999999999999,6.99,318,0,267,1.11,48,Australian Government,23.220000000000002,958,,,Sauce Worcestershire commercial,90,,
Stock dry powder or cube,10,1.1300000000000001,0.8900000000000001,2.25,0,0,0.42999999999999994,5.15,1840,0,25,0.25,7.1,Australian Government,21.53,1026,,,Stock dry powder or cube,30,,
Tomato whole canned in tomato juice drained,100,0.8,0.3,3,1.3,0,3,0,86,0,170,0.2,27,Australian Government,17.9,1066,,,Tomato whole canned in tomato juice drained,300,,
Carrot mature peeled fresh raw,120,0.72,0,7.92,4.08,0,7.4399999999999995,0,58.8,0,316.8,0.288,31.200000000000003,Australian Government,34.56,266,,,Carrot mature peeled fresh raw,360,,
Potato desiree peeled raw,300,6.8999999999999995,0,32.1,5.1000000000000005,0,5.1000000000000005,0,15,0,1200,0.72,18,Australian Government,156,866,,,Potato desiree peeled raw,900,,
Cabbage white raw,200,2.6,0.2,5.6,4.8,0,5.6,0,28.000000000000004,0,532,0.9199999999999999,64,Australian Government,34.6,240,,,Cabbage white raw,600,,
Vinegar except balsamic vinegar,300,0.3,0,0,0,0,0,0,15,0,18,0,3,Australian Government,1.2,1099,,,Vinegar except balsamic vinegar,900,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Slow Cooker Beef Stew - 1520.885,6,236.035,37.345,60.16,33.79,0,43.535,181.924,1243.4,432,5660.3,21.291,359.8,Own Recipe,1520.8849999999998,,,,,,,
Beef boneless dice or strips lean raw,800,220.8,19.2,0,0,0,0,0,304,432,2720,13.600000000000001,32,Australian Government,1056,64,,,,,,
Woolworths Essentials Plain Flour (100g),10,1.09,0.13,7.040000000000001,0.35000000000000003,0,0.22999999999999998,0,0,0,0,0,0,Woolworths,33.690000000000005,1612,,,,,,
Onion mature brown skinned peeled raw,140,1.82,0,8.12,3.7800000000000002,0,8.12,0,11.200000000000001,0,252,0.33599999999999997,32.2,Australian Government,39.76,727,,,,,,
Celery fresh raw,140,0.84,0.14,1.68,1.9599999999999997,0,1.68,0,137.2,0,373.8,0.35000000000000003,61.6,Australian Government,11.34,272,,,,,,
Carrot mature peeled fresh raw,200,1.2,0,13.200000000000001,6.800000000000001,0,12.4,0,98,0,528,0.48,52,Australian Government,57.6,266,,,,,,
Oil olive,15,0,14.985000000000001,0,0,0,0,2.4390000000000005,0,0,0,0,0,Australian Government,134.865,717,,,,,,
Garlic peeled fresh raw,100,6.1,2.8,10.2,16.9,0,1.5,35,8,0,509.99999999999994,1.7000000000000002,30,Australian Government,90.39999999999999,454,,,,,,
Sauce Worcestershire commercial,45,0.5850000000000001,0.09,7.920000000000001,0,0,7.6049999999999995,10.485000000000001,477,0,400.5,1.6650000000000003,72,Australian Government,34.830000000000005,958,,,,,,
Tomato whole canned in tomato juice undrained,400,3.6000000000000005,0,12,4,0,12,134,208,0,876,3.16,80,Australian Government,62.400000000000006,1067,,,,,,
Spezzatino con Patate 1234.97866666667,6,352.34999999999997,72.36000000000001,89.7,14.650000000000002,0,26.7,607.544,700,648,7506,26.62,180.5,Own Recipe,2419.44,,,,,,,
Beef diced lean raw,1200,334.79999999999995,32.400000000000006,0,0,0,0,467.03999999999996,456,648,4080,20.400000000000002,48,Australian Government,1630.7999999999997,67,,,,,,
Potato coliban peeled raw,600,12,0,69,6.6000000000000005,0,6,0,24,0,2280,2.7,18,Australian Government,324,861,,,,,,
Onion mature brown skinned peeled raw,150,1.9500000000000002,0,8.7,4.050000000000001,0,8.7,0,12,0,270,0.36,34.5,Australian Government,42.599999999999994,727,,,,,,
Tomato whole canned in tomato juice undrained,400,3.6000000000000005,0,12,4,0,12,134,208,0,876,3.16,80,Australian Government,62.400000000000006,1067,,,,,,
Oil olive,40,0,39.96000000000001,0,0,0,0,6.504000000000001,0,0,0,0,0,Australian Government,359.6400000000001,717,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Quinoa uncooked,250,32.25,16.25,146.5,30,0,11.75,0,17.5,0,1407.5,9.700000000000001,117.5,Australian Government,861.25,899,,,,,,
Capsicum red fresh raw,330,5.61,0.66,13.200000000000001,5.94,0,13.200000000000001,0,6.6000000000000005,0,574.2,0.99,13.200000000000001,Australian Government,81.18,262,,,,,,
Onion mature brown skinned peeled raw,235,3.055,0,13.629999999999999,6.345000000000001,0,13.629999999999999,0,18.8,0,423,0.564,54.050000000000004,Australian Government,66.74,727,,,,,,
Oil olive,20,0,19.980000000000004,0,0,0,0,3.2520000000000007,0,0,0,0,0,Australian Government,179.82000000000005,717,,Daily Totals:,Goals:,Actual:,,
Coles Beef 4 Star Lean Mince 10% Fat,500,107,50,0,0,0,0,19,200,0,0,0,0,Coles,878,1187,,Protein,150,2718.475,,-2568.475
Black Beans Canned (average),240,16.8,1.776,30.287999999999997,16.560000000000002,0,3.072,0.6720000000000002,261.12,0,0,0,0,"Woolworths, USDA",204.33599999999998,1448,,Fat,70,1421.7390000000003,-2550.621222222222,-1351.7390000000003
Corn kernels canned in brine drained,255,7.395,2.5500000000000003,42.84,6.885000000000001,0,8.925,74.20500000000001,433.5,0,316.2,1.071,5.1000000000000005,Australian Government,223.89000000000001,365,,Carb,220,2917.4849999999997,-5738.89775,-2697.4849999999997
Mexican Quinoa with Beef,6,172.11,91.216,246.458,65.73,0,50.577,97.12900000000002,937.52,0,2720.8999999999996,12.325000000000001,189.85,Own Recipe,2495.216,,,Fibre,32.662000000000006,478.889,,-446.227
,,,,,,,,,,,,,,,,,,Alcohol,0,0,,
,,,,,,,,,,,,,,,,,,Calories,2110,35339.490999999995,,
,,,,,,,,,,,,,,,,,,,,,,
Daily Totals,,2672.785,1404.4180000000003,2558.937,445.419,0,671.6010000000001,2421.8139999999994,39575.58,2394,46404.99999999999,145.76299999999998,2420.6499999999996,,33566.65,,,,,,,
Goals,,150,70,220,29.54,0,,,,,,,,,2110,,,,,,,
