,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
Breakfast - 456,,,,,,,,,,,,,,,,,,,,,,
Flour wheat white plain,25,2.5,0.325,18.3,0.55,0,0.475,5.05,0.75,0,42.5,0.3,5.25,Australian Government,86.125,441,,,,,,
Oil vegetable,18.333333333333332,0,18.333333333333332,0,0,0,0,0,0,0,0,0.0018333333333333333,0,Australian Government,165,723,,,,,,
Eggs X-Large (700g/12 eggs),0.25,1.638,1.105,0.039,0,0,0.039,4.235399999999999,19.5,63.44,18.2,0.24699999999999997,6.109999999999999,Australian Government,16.653,413,,,,,,
Milk cow fluid regular fat 3.5% fat,41.666666666666664,1.4166666666666667,1.4166666666666667,2.4999999999999996,0,0,2.4999999999999996,28.245833333333334,14.583333333333332,4.166666666666667,57.91666666666666,0.012499999999999999,43.333333333333336,Australian Government,28.416666666666664,632,,,,,,
Woolworths Lean Pork Mince (100g),41.666666666666664,8.125,4.416666666666666,0,0,0,0,1.6666666666666665,24.166666666666664,0,0,0,0,Woolworths,72.25,1491,,,,,,
Tomato whole canned in tomato juice undrained,33.333333333333336,0.30000000000000004,0,1,0.33333333333333337,0,1,11.166666666666668,17.333333333333336,0,73,0.26333333333333336,6.666666666666668,Australian Government,5.2,1067,,,,,,
Onion mature white skinned peeled fresh raw,11.666666666666666,0.19833333333333333,0.011666666666666665,0.5483333333333333,0.245,0,0.5483333333333333,0,1.5166666666666666,0,19.599999999999998,0.033833333333333326,3.033333333333333,Australian Government,3.091666666666667,729,,,,,,
Bell Farms Chopped Spinach (100g),20.833333333333332,0.41666666666666663,0,0.41666666666666663,0.6875,0,0.2708333333333333,0,7.499999999999999,0,0,0,0,Woolworths,3.333333333333333,1487,,,,,,
Woolworths Shredded Mozzarella Cheddar & Pecorino Blend (100g),20.833333333333332,5.395833333333333,5.770833333333332,0.5,0,0,0.31249999999999994,3.5416666666666665,155.625,0,0,0,0,Woolworths,75.52083333333331,1489,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 1 - 0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Lunch - 655.91,https://www.recipetineats.com/filipino-chicken-adobo-flavour-kapow/,,,,,,,,,,,,,,,,,,,,,
Chicken thigh lean flesh raw,200,36.6,10,0,0,0,0,63.800000000000004,124,158,560,1.4,20,Australian Government,236.4,307,,,,,,
Garlic peeled fresh raw,20,1.22,0.5599999999999999,2.04,3.38,0,0.3,7,1.6,0,102,0.34,6,Australian Government,18.08,454,,,,,,
Kikkoman Soy Sauce,20,2.06,0,1.62,0,0,0.26,0,1291.6,0,0,0,0,Woolworths,14.72,1460,,,,,,
Vinegar except balsamic vinegar,20,0.02,0,0,0,0,0,0,1,0,1.2,0,0.2,Australian Government,0.08,1099,,,,,,
Oil olive,10,0,9.990000000000002,0,0,0,0,1.6260000000000003,0,0,0,0,0,Australian Government,89.91000000000003,717,,,,,,
Garlic peeled fresh raw,10,0.61,0.27999999999999997,1.02,1.69,0,0.15,3.5,0.8,0,51,0.17,3,Australian Government,9.04,454,,,,,,
Onion mature white skinned peeled fresh raw,180,3.06,0.18,8.46,3.7800000000000002,0,8.46,0,23.400000000000002,0,302.4,0.522,46.800000000000004,Australian Government,47.7,729,,,,,,
Sugar white icing,10,0,0,10,0,0,10,0,0,0,0.2,0,0.1,Australian Government,40,1035,,,,,,
Onion spring fresh raw,,,,,,,,,,,,,,,,730,,,,,,
Rice white uncooked,60,4.38,0.54,44.4,0.48,0,0,13.32,0.6,0,34.8,0.12,2.4,Australian Government,199.98,916,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 2 - 364.31603,,,,,,,,,,,,,,,,,,,,,,
Sultana,18.75,0.48750000000000004,0.05625,11.4,0.61875,0,11.0625,0,1.3125000000000002,0,179.0625,0.34687500000000004,9.75,Australian Government,48.05625,1037,,,,,,
Oats hulled uncooked,6.25,0.73125,0.6125,3.4687500000000004,0.5375,0,0.075,1.2125,0.25,0,19.375,0.24375,2.3125,Australian Government,22.3125,703,,,,,,
Coconut Flakes (Woolworths),3,0.201,1.9529999999999998,0.6990000000000001,0.44400000000000006,0,0.159,1.869,1.23,0,0,0,0,Woolworths,21.176999999999996,1449,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Sourdough Bread 100% Caputo 70% Hydration,40,3.6691200000000004,0.28224000000000005,20.180159999999997,0.8467199999999999,0,0.28224000000000005,0.084672,225.52128,0,0.5644800000000001,0,0.59136,Own Recipe,97.93727999999999,1261,,,,,,
