,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
Breakfast - 270,,,,,,,,,,,,,,,,,,,,,,
Eggs X-Large (700g/12 eggs),2,13.104,8.84,0.312,0,0,0.312,33.883199999999995,156,507.52,145.6,1.9759999999999998,48.879999999999995,Australian Government,133.224,413,,,,,,
Coles Soy Milk Oranic,220,6.6,7.260000000000001,11.219999999999999,0,0,3.9600000000000004,0,85.8,0,0,0,264,Coles,136.62,1179,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 1 - 0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Lunch - 822.768,https://www.recipetineats.com/filipino-chicken-adobo-flavour-kapow/,,,,,,,,,,,,,,,,,,,,,
Chicken thigh lean flesh raw,200,36.6,10,0,0,0,0,63.800000000000004,124,158,560,1.4,20,Australian Government,236.4,307,,,,,,
Garlic peeled fresh raw,20,1.22,0.5599999999999999,2.04,3.38,0,0.3,7,1.6,0,102,0.34,6,Australian Government,18.08,454,,,,,,
Kikkoman Soy Sauce,20,2.06,0,1.62,0,0,0.26,0,1291.6,0,0,0,0,Woolworths,14.72,1460,,,,,,
Vinegar except balsamic vinegar,20,0.02,0,0,0,0,0,0,1,0,1.2,0,0.2,Australian Government,0.08,1099,,,,,,
Oil olive,3.3333333333333335,0,3.3300000000000005,0,0,0,0,0.5420000000000001,0,0,0,0,0,Australian Government,29.970000000000006,717,,,,,,
Garlic peeled fresh raw,2,0.122,0.055999999999999994,0.204,0.33799999999999997,0,0.03,0.7,0.16,0,10.2,0.034,0.6,Australian Government,1.8079999999999998,454,,,,,,
Onion mature white skinned peeled fresh raw,30,0.51,0.03,1.41,0.63,0,1.41,0,3.9000000000000004,0,50.4,0.087,7.800000000000001,Australian Government,7.949999999999999,729,,,,,,
Sugar white icing,10,0,0,10,0,0,10,0,0,0,0.2,0,0.1,Australian Government,40,1035,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Rice white uncooked,60,4.38,0.54,44.4,0.48,0,0,13.32,0.6,0,34.8,0.12,2.4,Australian Government,199.98,916,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Rice white uncooked,60,4.38,0.54,44.4,0.48,0,0,13.32,0.6,0,34.8,0.12,2.4,Australian Government,199.98,916,,,,,,
