,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
Breakfast - 278,,,,,,,,,,,,,,,,,,,,,,
Eggs X-Large (700g/12 eggs),2,13.104,8.84,0.312,0,0,0.312,33.883199999999995,156,507.52,145.6,1.9759999999999998,48.879999999999995,Australian Government,133.224,413,,,0.975609756097561,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
Nut brazil raw or blanched unsalted,3,0.43200000000000005,2.055,0.07200000000000001,0.255,0,0.063,0.678,0.06,0,16.799999999999997,0.066,4.5,Australian Government,20.511000000000003,685,,,1.4634146341463417,,,
Coles Soy Milk Oranic,200,6,6.6000000000000005,10.2,0,0,3.6000000000000005,0,78,0,0,0,240,Coles,124.2,1179,,,97.5609756097561,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,0,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 1 - 0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Lunch - 454.33,,,,,,,,,,,,,,,,,,,,,,
Beef roasting piece silverside or topside lean raw,150,34.5,5.4,0,0,0,0,0,66,52.5,535.5,1.8599999999999999,6,Australian Government,186.6,72,,,,,,
Beans Pinto Borlotti Dry ,25,5.925,0.31,9.65,1.025,0,0,0,0,0,377.5,1.35,40.25,USDA,65.09,1372,,,,,,
Rice white uncooked,50,3.65,0.45000000000000007,37,0.4,0,0,11.1,0.5,0,28.999999999999996,0.1,2,Australian Government,166.65,916,,,,,,
Cauliflower fresh raw,50,0.95,0.1,1.6500000000000001,0.6,0,1.4,0,20,0,121,0.16,9,Australian Government,11.3,270,,,,,,
Broccoli fresh raw,50,1.285,0.15,0.95,1.7000000000000002,0,0.2,0,11,0,168,0.42,16,USDA,10.29,1373,,,,,,
Carrot mature peeled fresh raw,50,0.3,0,3.3000000000000003,1.7000000000000002,0,3.1,0,24.5,0,132,0.12,13,Australian Government,14.4,266,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 2 - 313.7216,,,,,,,,,,,,,,,,,,,,,,
Carrot mature peeled fresh raw,120,0.72,0,7.92,4.08,0,7.4399999999999995,0,58.8,0,316.8,0.288,31.200000000000003,Australian Government,34.56,266,,,,,,
Chickpea dried,50,9.85,2.75,19.25,10.4,0,1.1,6.35,5.5,0,198,2.3,79.5,Australian Government,141.15,312,,,,,,
Oil olive,6.6,0,6.593400000000001,0,0,0,0,1.0731600000000001,0,0,0,0,0,Australian Government,59.34060000000001,717,,,,,,
Tahini sesame seed pulp,10,1.7300000000000002,6.07,0.1,1.35,0,0.06999999999999999,1.3,7.9,0,19,0.51,33,Australian Government,61.95,1044,,,,,,
Garlic peeled fresh raw,5,0.305,0.13999999999999999,0.51,0.845,0,0.075,1.75,0.4,0,25.5,0.085,1.5,Australian Government,4.52,454,,,,,,
Cumin cummin seed dried ground,3,0.534,0.669,1.0110000000000001,0.315,0,0.066,0.2442,5.04,0,53.64,1.9908,27.93,Australian Government,12.201,384,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Dinner - 915.45,,,,,,,,,,,,,,,,,,,,,,
Chicken breast lean flesh raw,337.5,75.2625,5.4,0,0,0,0,111.03749999999998,138.375,199.125,1012.5,1.35,40.5,Australian Government,349.65000000000003,297,,,,,,
Cream thickened regular fat approximately 35%,120,2.4,43.32,2.88,0,0,2.88,81.9,32.400000000000006,132,100.8,0,72,Australian Government,411,374,,,,,,
Potato red skin peeled raw,270,6.21,0,28.89,4.590000000000001,0,4.590000000000001,0,13.5,0,1080,0.6479999999999999,16.2,Australian Government,140.4,870,,,,,,
Carrot mature peeled fresh raw,50,0.3,0,3.3000000000000003,1.7000000000000002,0,3.1,0,24.5,0,132,0.12,13,Australian Government,14.4,266,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,Daily Totals:,Goals:,Actual:,,
,,,,,,,,,,,,,,,,,,Protein,150,163.45750000000004,,-13.457500000000039
,,,,,,,,,,,,,,,,,,Fat,70,88.8474,22.488155555555565,-18.847399999999993
,,,,,,,,,,,,,,,,,,Carb,220,126.99499999999999,50.598350000000025,93.00500000000001
,,,,,,,,,,,,,,,,,,Fibre,32.662000000000006,28.96,,3.7020000000000053
,,,,,,,,,,,,,,,,,,Alcohol,0,0,,
,,,,,,,,,,,,,,,,,,Calories,2110,1961.4366,,
,,,,,,,,,,,,,,,,,,,,,,
Daily Totals,,163.45750000000004,88.8474,126.99499999999999,28.96,0,27.996000000000002,249.31605999999996,642.475,891.145,4463.639999999999,13.3438,694.4599999999999,,1961.4366,,,,,,,
Goals,,150,70,220,29.54,0,,,,,,,,,2110,,,,,,,
