,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
Breakfast - 398,Recipe: https://nomoneynotime.com.au/healthy-easy-recipes/silass-overnight-oats,,,,,,,,,,,,,,,,,,,,,
Oats rolled uncooked,40,4.96,3.8,19.96,3.8,0,0.4,7.759999999999999,1.2,0,124,1.4000000000000001,16,Australian Government,133.88,705,,,,,,
Coles Drink Soy Regular 1L,220,6.82,6.6,10.34,0,0,3.52,0.44,132,0,435.6,0,264,Coles,128.04000000000002,1180,,,,,,
Milk cow fluid regular fat 3.5% fat,200,6.800000000000001,6.800000000000001,12,0,0,12,135.58,70,20,278,0.06,208,Australian Government,136.4,632,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 1 - 91.54575,Recipe: https://nomoneynotime.com.au/healthy-easy-recipes/apricot-bliss-balls,,,,,,,,,,,,,,,,,,,,,
Sultana,18.75,0.48750000000000004,0.05625,11.4,0.61875,0,11.0625,0,1.3125000000000002,0,179.0625,0.34687500000000004,9.75,Australian Government,48.05625,1037,,,,,,
Oats hulled uncooked,6.25,0.73125,0.6125,3.4687500000000004,0.5375,0,0.075,1.2125,0.25,0,19.375,0.24375,2.3125,Australian Government,22.3125,703,,,,,,
Coconut Flakes (Woolworths),3,0.201,1.9529999999999998,0.6990000000000001,0.44400000000000006,0,0.159,1.869,1.23,0,0,0,0,Woolworths,21.176999999999996,1449,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Lunch - 427.795,Recipe: https://nomoneynotime.com.au/healthy-easy-recipes/lamb-and-pumpkin-soup,,,,,,,,,,,,,,,,,,,,,
Octopus raw,100,14.899999999999999,1,0,0,0,0,36.15,229.99999999999997,48,350,5.3,53,Australian Government,68.6,706,,,,,,
Tomato common raw,250,1.5,0,7.5,2.7500000000000004,0,6.25,0,10,0,525,0.575,27.5,Australian Government,36,1060,,,,,,
Cucumber Lebanese unpeeled raw,160,0.96,0,3.2,1.4400000000000002,0,3.04,0,19.2,0,214.4,0.43200000000000005,67.2,Australian Government,16.64,382,,,,,,
Oil olive,10,0,9.990000000000002,0,0,0,0,1.6260000000000003,0,0,0,0,0,Australian Government,89.91000000000003,717,,,,,,
Rice white uncooked,65,4.745,0.5850000000000001,48.1,0.52,0,0,14.43,0.65,0,37.699999999999996,0.13,2.6,Australian Government,216.645,916,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Snack 2 - 0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Dinner - 668.375,Recipe: https://nomoneynotime.com.au/healthy-easy-recipes/christmas-slaw,,,,,,,,,,,,,,,,,,,,,
Cabbage white raw,150,1.9500000000000002,0.15,4.199999999999999,3.6,0,4.199999999999999,0,21.000000000000004,0,399,0.69,48,Australian Government,25.949999999999996,240,,,,,,
Carrot mature peeled fresh raw,60,0.36,0,3.96,2.04,0,3.7199999999999998,0,29.4,0,158.4,0.144,15.600000000000001,Australian Government,17.28,266,,,,,,
Cucumber Lebanese unpeeled raw,80,0.48,0,1.6,0.7200000000000001,0,1.52,0,9.6,0,107.2,0.21600000000000003,33.6,Australian Government,8.32,382,,,,,,
Celery fresh raw,50,0.3,0.05,0.6,0.7,0,0.6,0,49,0,133.5,0.125,22,Australian Government,4.05,272,,,,,,
Coles Light Greek Style Yoghurt,100,6.4,1.9,8.9,0,0,6.1,1.4,71,0,0,0,233,Coles,78.30000000000001,1181,,,,,,
Honey,15,0.03,0,12.315,0,0,12.315,0,2.1,0,9.3,0.03,1.2,Australian Government,49.379999999999995,484,,,,,,
Oil olive,15,0,14.985000000000001,0,0,0,0,2.4390000000000005,0,0,0,0,0,Australian Government,134.865,717,,,,,,
Woolworths Wholegrain Mustard,10,0.7200000000000001,1.1800000000000002,0.22999999999999998,0.8300000000000001,0,0.16,0,210,0,0,0,0,Woolworths,14.420000000000002,1455,,,,,,
Juice lemon,15,0.09,0.03,0.27,0.375,0,0.27,0,0.3,0,18,0.045,3,Australian Government,1.71,498,,,,,,
Pork forequarter shoulder roast lean raw,200,39.2,6.2,0,0,0,0,80.2,150,120,740,2.2,22,Australian Government,212.60000000000002,821,,,,,,
Coles Burrito Tortilla Wraps,1,3.1,3.5,19.4,0,0,1.6,1.6,368,0,0,0,0,Coles ,121.5,1161,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,Daily Totals:,Goals:,Actual:,,
,,,,,,,,,,,,,,,,,,Protein,150,94.73474999999999,,55.26525000000001
,,,,,,,,,,,,,,,,,,Fat,70,59.39175,33.655916666666656,10.608249999999998
,,,,,,,,,,,,,,,,,,Carb,220,168.14275,75.72581249999999,51.85724999999999
,,,,,,,,,,,,,,,,,,Fibre,32.662000000000006,18.375249999999994,,14.286750000000012
,,,,,,,,,,,,,,,,,,Alcohol,0,0,,
,,,,,,,,,,,,,,,,,,Calories,2110,1586.03575,,
,,,,,,,,,,,,,,,,,,,,,,
Daily Totals,,94.73474999999999,59.39175,168.14275,18.375249999999994,0,66.99149999999999,284.70650000000006,1376.2424999999998,188,3728.5375,11.937625,1028.7625000000003,,1586.0357500000005,,,,,,,
Goals,,150,70,220,29.54,0,,,,,,,,,2110,,,,,,,
