,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index
Mediterranean Hummus Bowls 1848,6,199.01,210.93400000000003,227.867,58.98,0,26.203000000000003,125.50080000000001,8470.83,0,3445.88,29.798,1112.6,Own Recipe,3605.9139999999998,
Coles Beef 4 Star Lean Mince 10% Fat,500,107,50,0,0,0,0,19,200,0,0,0,0,Coles,878,1187
Oregano dried,3,0.27,0.129,0.792,1.275,0,0.12299999999999998,1.2797999999999998,0.75,0,37.8,1.104,47.910000000000004,Australian Government,5.409000000000001,734
Cumin cummin seed dried ground,5,0.8900000000000001,1.115,1.685,0.525,0,0.11000000000000001,0.40700000000000003,8.4,0,89.39999999999999,3.3179999999999996,46.550000000000004,Australian Government,20.335,384
Garlic peeled fresh raw,10,0.61,0.27999999999999997,1.02,1.69,0,0.15,3.5,0.8,0,51,0.17,3,Australian Government,9.04,454
Salt table iodised,6,0,0,0,0,0,0,0,2290.08,0,5.88,0,2.04,Australian Government,0,933
,,,,,,,,,,,,,,,,#N/A
Woolworths Basmati Rice (100g),200,12.6,0,157.6,4.2,0,0.4,0,10,0,0,0,0,Woolworths,680.8,1620
,,,,,,,,,,,,,,,,#N/A
Chickpea canned drained,200,12.6,4.2,26.6,11.4,0,1.2,25.5,500,0,280,3.6000000000000005,90,Australian Government,194.60000000000002,311
Cumin cummin seed dried ground,10,1.7800000000000002,2.23,3.37,1.05,0,0.22000000000000003,0.8140000000000001,16.8,0,178.79999999999998,6.635999999999999,93.10000000000001,Australian Government,40.67,384
Garlic peeled fresh raw,20,1.22,0.5599999999999999,2.04,3.38,0,0.3,7,1.6,0,102,0.34,6,Australian Government,18.08,454
Juice lemon,10,0.06,0.02,0.18000000000000002,0.25,0,0.18000000000000002,0,0.2,0,12,0.03,2,Australian Government,1.1400000000000001,498
Tahini sesame seed pulp,120,20.76,72.84,1.2,16.200000000000003,0,0.8399999999999999,15.600000000000001,94.80000000000001,0,228,6.119999999999999,396,Australian Government,743.4,1044
Danish Style Fetta Woolworths,200,31,38,8.6,0,0,2,26,2320,0,0,0,0,Woolworths,500.4,1505
Cucumber Lebanese unpeeled raw,500,3,0,10,4.500000000000001,0,9.5,0,60,0,670,1.35,210,Australian Government,52,382
Tomato cherry raw,500,2.5,0.5,11.000000000000002,8.5,0,11.000000000000002,0,50,0,1200,2.5,55,Australian Government,58.50000000000001,1059
Olive green or black drained,200,4,41,3.6000000000000005,4.6,0,0,26.400000000000002,2900,0,132,3.82,104,Australian Government,399.4,726
