,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index,,,,,,
White Bean Burgers 2342,6,84.44200000000001,155.604,150.96299999999997,94.35399999999998,0,15.218000000000002,43.125699999999995,1740,0,2273.57,16.9633,472.74,Own Recipe,2342.056,,,,,,,
Quinoa white uncooked,130,15.86,8.19,80.34,13.65,0,5.46,16.51,10.4,0,731.9,4.680000000000001,62.4,Australian Government,458.51,900,,21.666666666666668,,,,
Water tap,350,0,0,0,0,0,0,0,10.5,0,0,0,7,Australian Government,0,1103,,58.333333333333336,,,,
Cannellini Beans Canned Aldi,480,29.28,3.3599999999999994,59.040000000000006,41.279999999999994,0,3.3599999999999994,0.48,840,0,0,0,0,Packaging,383.52000000000004,1362,,80,,,,
Nut walnut raw unsalted,150,21.6,103.80000000000001,4.5,9.6,0,4.050000000000001,10.05,4.5,0,660,3.75,133.5,Australian Government,1038.6,699,,25,,,,
Seed linseed or flaxseed,80,12.4,33.760000000000005,1.28,21.840000000000003,0,1.28,7.343999999999999,24,0,650.4000000000001,4.5840000000000005,204,Australian Government,358.56000000000006,972,,13.333333333333334,,,,
Cumin cummin seed dried ground,5,0.8900000000000001,1.115,1.685,0.525,0,0.11000000000000001,0.40700000000000003,8.4,0,89.39999999999999,3.3179999999999996,46.550000000000004,Australian Government,20.335,384,,0.8333333333333334,,,,
Garlic peeled fresh raw,20,1.22,0.5599999999999999,2.04,3.38,0,0.3,7,1.6,0,102,0.34,6,Australian Government,18.08,454,,3.3333333333333335,,,,
Pepper black ground,3,0.31200000000000006,0.099,1.158,0.759,0,0.018000000000000002,1.3347,0.6000000000000001,0,39.87,0.2913,13.29,Australian Government,6.771,781,,0.5,,,,
Woolworths Wholegrain Mustard,40,2.8800000000000003,4.720000000000001,0.9199999999999999,3.3200000000000003,0,0.64,0,840,0,0,0,0,Woolworths,57.68000000000001,1495,,6.666666666666667,,,,
,,0,0,0,0,0,0,0,0,0,0,0,0,Own Recipe,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Roast Vegetables,1000,7.500000000000001,26.475,41.5,22.5,0,39.5,4.065,250,0,2260,3.7,220,Own Recipe,434.27500000000003,#N/A,,,,,,
Zucchini green skin fresh unpeeled raw,500,4.500000000000001,1.5,8.5,5.500000000000001,0,8.5,0,5,0,940,2.5,90,Australian Government,65.5,1144,,,,,,
Carrot mature peeled fresh raw,500,3,0,33,17,0,31,0,245,0,1320,1.2,130,Australian Government,144,266,,,,,,
Oil olive,25,0,24.975,0,0,0,0,4.065,0,0,0,0,0,Australian Government,224.775,717,,,,,,
Roast Onions,600,8.32,19.980000000000004,37.12,17.28,0,37.12,3.2520000000000007,51.2,0,1152,1.5359999999999998,147.20000000000002,Own Recipe,361.58000000000004,#N/A,,,,,,
Onion mature brown skinned peeled raw,640,8.32,0,37.12,17.28,0,37.12,0,51.2,0,1152,1.5359999999999998,147.20000000000002,Australian Government,181.76,727,,,,,,
Oil olive,20,0,19.980000000000004,0,0,0,0,3.2520000000000007,0,0,0,0,0,Australian Government,179.82000000000005,717,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Fruity beef casserole,6,228.55,75.61,114.17000000000002,24.13,0,83.08,32.96,13999.6,0,1614.6,2.438,173.3,Own Recipe,2051.37,1682,,,,,,
Oil olive,40,0,39.96000000000001,0,0,0,0,6.504000000000001,0,0,0,0,0,Australian Government,359.6400000000001,717,,,,,,
Woolworths Corned Beef Silverside Portion (100g),1200,217.20000000000002,33.599999999999994,42.00000000000001,0,0,21.6,18,12036,0,0,0,0,Woolworths,1339.2,1615,,,,,,
Onion mature brown skinned peeled raw,280,3.64,0,16.24,7.5600000000000005,0,16.24,0,22.400000000000002,0,504,0.6719999999999999,64.4,Australian Government,79.52,727,,,,,,
Carrot mature peeled fresh raw,140,0.84,0,9.24,4.760000000000001,0,8.68,0,68.6,0,369.6,0.33599999999999997,36.4,Australian Government,40.32,266,,,,,,
Woolworths Tomato Paste Sachets No Added Salt (serving),1,2.2,0.6,4.9,2.6,0,4.9,0.5,25,0,0,0,0,Woolworths,33.8,1646,,,,,,
Woolworths Essentials Plain Flour (100g),10,1.09,0.13,7.040000000000001,0.35000000000000003,0,0.22999999999999998,0,0,0,0,0,0,Woolworths,33.690000000000005,1625,,,,,,
Lemon peel raw,10,0.15,0.03,0,1.06,0,0,2.8059999999999996,0.6,0,16,0.08,13.4,Australian Government,0.87,573,,,,,,
Stock dry powder or cube,10,1.1300000000000001,0.8900000000000001,2.25,0,0,0.42999999999999994,5.15,1840,0,25,0.25,7.1,Australian Government,21.53,1026,,,,,,
Prune dried plum,100,2.3,0.4,32.5,7.8,0,31,0,7.000000000000001,0,700,1.1,52,Australian Government,142.8,884,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Rains Easy Chicken Curry,6,179.45,123.56,49.42,5,0,26.870000000000005,315.518,5667.400000000001,442.5,2832,3.936,161.9,Own Recipe,2027.52,,,,Rains Easy Chicken Curry,18,,
Oil olive,30,0,29.970000000000002,0,0,0,0,4.878000000000001,0,0,0,0,0,Australian Government,269.73,717,,,Oil olive,90,,
Ginger peeled fresh raw,10,0.08,0.04,0.48,0.27999999999999997,0,0.17,0,1.1,0,24,0.06,1.7000000000000002,Australian Government,2.5999999999999996,461,,,Ginger peeled fresh raw,30,,
Onion mature brown skinned peeled raw,140,1.82,0,8.12,3.7800000000000002,0,8.12,0,11.200000000000001,0,252,0.33599999999999997,32.2,Australian Government,39.76,727,,,Onion mature brown skinned peeled raw,420,,
Mr Chen's Thai Red Curry Paste,190,3.4200000000000004,13.110000000000001,32.300000000000004,0,0,14.060000000000002,5.89,5244,0,0,0,0,Packaging,260.87,1687,,,Mr Chen's Thai Red Curry Paste,570,,
Chicken breast lean flesh raw,750,167.25,12,0,0,0,0,246.74999999999997,307.5,442.5,2250,3,90,Australian Government,777,297,,,Chicken breast lean flesh raw,2250,,
Parsley continental fresh raw,20,0.48,0.04,0.12,0.94,0,0.12,0,11.6,0,306,0.54,38,Australian Government,2.76,743,,,Parsley continental fresh raw,60,,
Aldi Coconut Milk,400,6.4,68.4,8.4,0,0,4.4,57.99999999999999,92,0,0,0,0,Packaging,674.8000000000001,1360,,,Aldi Coconut Milk,1200,,
,,,,,,,,,,,,,,,,#N/A,,,,0,,
Capsicum red fresh raw,200,3.4000000000000004,0.4,8,3.6000000000000005,0,8,0,4,0,348,0.6,8,Australian Government,49.2,262,,,Capsicum red fresh raw,600,,
Broccoli fresh raw,300,7.709999999999999,0.9,5.7,10.200000000000001,0,1.2,0,66,0,1008,2.52,96,USDA,61.739999999999995,1406,,,Broccoli fresh raw,900,,
Carrot mature peeled fresh raw,120,0.72,0,7.92,4.08,0,7.4399999999999995,0,58.8,0,316.8,0.288,31.200000000000003,Australian Government,34.56,266,,,Carrot mature peeled fresh raw,360,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Moroccan Spice Mix,6,4.152000000000001,4.195,10.485999999999999,9.394,0,1.5520000000000003,9.881499999999999,33.82000000000001,0,538.42,10.4062,201.76999999999998,Own Recipe,96.307,,,,,,,
Paprika dry powder,10,1.41,1.29,1.9100000000000001,3.4899999999999998,0,1.03,1.845,6.800000000000001,0,228,2.114,22.9,Australian Government,24.89,742,,,,,,
Cumin cummin seed dried ground,10,1.7800000000000002,2.23,3.37,1.05,0,0.22000000000000003,0.8140000000000001,16.8,0,178.79999999999998,6.635999999999999,93.10000000000001,Australian Government,40.67,384,,,,,,
Cinnamon dried ground,5,0.2,0.06,1.375,2.6550000000000002,0,0.11000000000000001,2.6174999999999997,0.5,0,21.549999999999997,0.416,50.099999999999994,Australian Government,6.84,328,,,,,,
Cloves dried ground,3,0.18,0.39,0.948,1.017,0,0.07200000000000001,1.3245,8.31,0,30.599999999999998,0.3549,18.96,Australian Government,8.022,329,,,,,,
Ginger dried ground,3,0.27,0.126,1.7249999999999999,0.42299999999999993,0,0.10200000000000001,1.9457999999999998,0.81,0,39.599999999999994,0.5940000000000001,3.42,Australian Government,9.113999999999999,460,,,,,,
Pepper black ground,3,0.31200000000000006,0.099,1.158,0.759,0,0.018000000000000002,1.3347,0.6000000000000001,0,39.87,0.2913,13.29,Australian Government,6.771,781,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
Healthy Apricot Chicken,8,335.65,135.64,288.75,55.660000000000004,0,112.89,413.166,3009.8,948,13126.3,37.349000000000004,1120.5,Own Recipe,3718.3599999999997,,,,,,,
Oil olive,60,0,59.940000000000005,0,0,0,0,9.756000000000002,0,0,0,0,0,Australian Government,539.46,717,,,,,,
Chicken thigh lean flesh raw,1200,219.6,60,0,0,0,0,382.8,744,948,3360,8.399999999999999,120,Australian Government,1418.4,307,,,,,,
Onion mature brown skinned peeled raw,280,3.64,0,16.24,7.5600000000000005,0,16.24,0,22.400000000000002,0,504,0.6719999999999999,64.4,Australian Government,79.52,727,,,,,,
Celery fresh raw,230,1.3800000000000001,0.23,2.7600000000000002,3.2199999999999998,0,2.7600000000000002,0,225.4,0,614.1,0.5750000000000001,101.2,Australian Government,18.630000000000003,272,,,,,,
Carrot mature peeled fresh raw,280,1.68,0,18.48,9.520000000000001,0,17.36,0,137.2,0,739.2,0.6719999999999999,72.8,Australian Government,80.64,266,,,,,,
Garlic peeled fresh raw,40,2.44,1.1199999999999999,4.08,6.76,0,0.6,14,3.2,0,204,0.68,12,Australian Government,36.16,454,,,,,,
Mustard powder,20,5.88,7.9,3.4399999999999995,1,0,1,1.06,0.6,0,130,1.4000000000000001,32,Australian Government,108.38,665,,,,,,
Stock dry powder or cube,10,1.1300000000000001,0.8900000000000001,2.25,0,0,0.42999999999999994,5.15,1840,0,25,0.25,7.1,Australian Government,21.53,1026,,,,,,
Ardmona Apricot Nectar Fruit Drink (100g),400,0.8,0.4,45.6,2.8,0,34,0.4,0,0,0,0,0,Woolworths,189.20000000000002,1653,,,,,,
Apricot dried,100,4.3,0.2,41.5,8.4,0,40.5,0,37,0,1510,3.1,67,Australian Government,185,21,,,,,,
Beans Pinto Borlotti Dry ,400,94.8,4.96,154.4,16.4,0,0,0,0,0,6040,21.6,644,USDA,1041.44,1405,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,#N/A,,Daily Totals:,Goals:,Actual:,,
,,,,,,,,,,,,,,,,#N/A,,Protein,150,1707.9580000000003,,-1557.9580000000003
,,,,,,,,,,,,,,,,#N/A,,Fat,70,1083.4280000000003,-1540.733777777778,-1013.4280000000003
,,,,,,,,,,,,,,,,#N/A,,Carb,220,1406.4379999999999,-3466.6510000000007,-1186.4379999999999
,,,,,,,,,,,,,,,,,,Fibre,32.662000000000006,474.51599999999996,,-441.8539999999999
,,,,,,,,,,,,,,,,,,Alcohol,0,0,,
,,,,,,,,,,,,,,,,,,Calories,2110,22208.436000000005,,
,,,,,,,,,,,,,,,,,,,,,,
Daily Totals,,1623.5160000000003,927.8240000000003,1255.475,380.162,0,633.8820000000001,1600.8106999999998,47892.439999999995,2781,46993.00999999999,139.1017,4657.280000000001,,19866.38,,,,,,,
Goals,,150,70,220,29.54,0,,,,,,,,,2110,,,,,,,
